ts,x_ear,y_ear,z_ear,label
1713973904.217977,-0.162109375,-0.51123046875,-0.840576171875,unknown
1713973904.250303,-0.16357421875,-0.51025390625,-0.841796875,unknown
1713973904.291227,-0.1640625,-0.509765625,-0.8408203125,unknown
1713973904.332105,-0.1640625,-0.510986328125,-0.841796875,unknown
1713973904.36981,-0.164794921875,-0.510498046875,-0.841796875,unknown
1713973904.41266,-0.16064453125,-0.5087890625,-0.8427734375,unknown
1713973904.451106,-0.16455078125,-0.51123046875,-0.8408203125,unknown
1713973904.491243,-0.16357421875,-0.511962890625,-0.840576171875,unknown
1713973904.549347,-0.163818359375,-0.510498046875,-0.840087890625,unknown
1713973904.570267,-0.16162109375,-0.511962890625,-0.841796875,unknown
1713973904.639744,-0.162841796875,-0.5087890625,-0.8408203125,unknown
1713973904.648206,-0.160888671875,-0.5126953125,-0.84130859375,unknown
1713973904.693187,-0.16064453125,-0.510986328125,-0.84375,unknown
1713973904.738549,-0.16357421875,-0.509521484375,-0.840087890625,unknown
1713973904.797794,-0.16064453125,-0.508544921875,-0.841796875,unknown
1713973904.81729,-0.160888671875,-0.50830078125,-0.841064453125,unknown
1713973904.87571,-0.161376953125,-0.51123046875,-0.842041015625,unknown
1713973904.89155,-0.1611328125,-0.5107421875,-0.8408203125,unknown
1713973904.955045,-0.16259765625,-0.509033203125,-0.83984375,unknown
1713973904.987933,-0.161376953125,-0.509765625,-0.84130859375,unknown
1713973905.030089,-0.160400390625,-0.509765625,-0.840087890625,unknown
1713973905.052807,-0.1630859375,-0.512451171875,-0.841796875,unknown
1713973905.092716,-0.164306640625,-0.509033203125,-0.84130859375,unknown
1713973905.131741,-0.162841796875,-0.510009765625,-0.841796875,unknown
1713973905.170605,-0.163330078125,-0.509765625,-0.8427734375,unknown
1713973905.210152,-0.16357421875,-0.5126953125,-0.84130859375,unknown
1713973905.24909,-0.163818359375,-0.51318359375,-0.84375,unknown
1713973905.288781,-0.16162109375,-0.510009765625,-0.842041015625,unknown
1713973905.329233,-0.163330078125,-0.511962890625,-0.83984375,unknown
1713973905.370641,-0.161865234375,-0.51171875,-0.840087890625,unknown
1713973905.408979,-0.162109375,-0.509765625,-0.8408203125,unknown
1713973905.448742,-0.16357421875,-0.511474609375,-0.840087890625,unknown
1713973905.489302,-0.1640625,-0.510986328125,-0.840087890625,unknown
1713973905.530204,-0.162353515625,-0.51123046875,-0.841064453125,unknown
1713973905.570297,-0.162841796875,-0.51025390625,-0.839599609375,unknown
1713973905.610419,-0.16162109375,-0.51171875,-0.840576171875,unknown
1713973905.652253,-0.16357421875,-0.50927734375,-0.84033203125,unknown
1713973905.695081,-0.16259765625,-0.51123046875,-0.84033203125,unknown
1713973905.735856,-0.16064453125,-0.511962890625,-0.839111328125,unknown
1713973905.777154,-0.159912109375,-0.51025390625,-0.843017578125,unknown
1713973905.812161,-0.162353515625,-0.51025390625,-0.842041015625,unknown
1713973905.858227,-0.163330078125,-0.51171875,-0.84130859375,unknown
1713973905.88988,-0.161865234375,-0.51025390625,-0.841552734375,unknown
1713973905.932305,-0.16162109375,-0.513427734375,-0.8408203125,unknown
1713973905.972725,-0.1630859375,-0.5087890625,-0.84228515625,unknown
1713973906.014729,-0.16259765625,-0.51123046875,-0.840576171875,unknown
1713973906.049834,-0.163330078125,-0.5078125,-0.83935546875,unknown
1713973906.096762,-0.164306640625,-0.50927734375,-0.841064453125,unknown
1713973906.132926,-0.1640625,-0.509521484375,-0.841796875,unknown
1713973906.170265,-0.163818359375,-0.51220703125,-0.8408203125,unknown
1713973906.210912,-0.161376953125,-0.511962890625,-0.84130859375,unknown
1713973906.252596,-0.16259765625,-0.511474609375,-0.839599609375,unknown
1713973906.294938,-0.160888671875,-0.510009765625,-0.840576171875,unknown
1713973906.332095,-0.160888671875,-0.510009765625,-0.844482421875,unknown
1713973906.373809,-0.16259765625,-0.509033203125,-0.84130859375,unknown
1713973906.413074,-0.163818359375,-0.510498046875,-0.838623046875,unknown
1713973906.453711,-0.1640625,-0.510986328125,-0.84228515625,unknown
1713973906.495719,-0.16259765625,-0.51123046875,-0.8408203125,unknown
1713973906.532046,-0.161376953125,-0.5107421875,-0.84228515625,unknown
1713973906.579431,-0.163330078125,-0.510986328125,-0.841064453125,unknown
1713973906.619913,-0.162841796875,-0.50927734375,-0.84228515625,unknown
1713973906.650939,-0.165283203125,-0.5107421875,-0.84228515625,unknown
1713973906.694066,-0.16162109375,-0.512451171875,-0.84130859375,unknown
1713973906.733248,-0.163818359375,-0.51171875,-0.840576171875,unknown
1713973906.772307,-0.16357421875,-0.511962890625,-0.840576171875,unknown
1713973906.820154,-0.160888671875,-0.510986328125,-0.83935546875,unknown
1713973906.855486,-0.16357421875,-0.510498046875,-0.83935546875,unknown
1713973906.89366,-0.161376953125,-0.51171875,-0.84130859375,unknown
1713973906.932012,-0.164794921875,-0.5107421875,-0.841064453125,unknown
1713973906.974413,-0.162353515625,-0.511962890625,-0.843017578125,unknown
1713973907.013917,-0.163818359375,-0.511962890625,-0.84130859375,unknown
1713973907.055445,-0.161865234375,-0.511962890625,-0.8427734375,unknown
1713973907.094531,-0.162109375,-0.510498046875,-0.840087890625,unknown
1713973907.137241,0.085205078125,-0.640869140625,-0.822998046875,unknown
1713973907.174195,0.03173828125,-0.777587890625,-1.325927734375,unknown
1713973907.212521,0.339111328125,-0.66552734375,-1.610107421875,unknown
1713973907.258325,-0.95361328125,-1.1005859375,0.1552734375,unknown
1713973907.294965,0.694091796875,-0.185546875,-1.09912109375,unknown
1713973907.334399,0.185791015625,0.37744140625,-1.2080078125,unknown
1713973907.372742,0.55078125,-0.14111328125,-0.576904296875,unknown
1713973907.426577,0.68994140625,-0.160888671875,-0.4912109375,unknown
1713973907.454626,0.835205078125,-0.02734375,-0.44482421875,unknown
1713973907.507284,1.048095703125,0.123779296875,-0.335205078125,unknown
1713973907.533408,0.94091796875,0.538330078125,-0.142822265625,unknown
1713973907.586662,0.929931640625,0.40283203125,-0.32373046875,unknown
1713973907.615107,0.730224609375,0.71923828125,-0.22802734375,unknown
1713973907.667353,0.1826171875,0.3994140625,0.116943359375,unknown
1713973907.694973,0.35791015625,0.618408203125,0.619384765625,unknown
1713973907.735913,0.314208984375,0.437255859375,0.08056640625,unknown
1713973907.776468,0.58203125,0.25341796875,0.646240234375,unknown
1713973907.815437,0.455322265625,0.30224609375,0.472900390625,unknown
1713973907.854539,0.551513671875,0.283203125,0.779052734375,unknown
1713973907.892938,-0.260009765625,0.453857421875,0.780517578125,unknown
1713973907.932937,0.32568359375,0.30126953125,0.62353515625,unknown
1713973907.974262,0.32861328125,0.707275390625,0.547119140625,unknown
1713973908.014871,0.252685546875,0.664794921875,0.619873046875,unknown
1713973908.054841,0.072021484375,0.7666015625,0.759765625,unknown
1713973908.096201,0.156005859375,0.63671875,0.723388671875,unknown
1713973908.135508,0.12890625,0.82470703125,0.441650390625,unknown
1713973908.177059,0.100341796875,0.4912109375,0.595458984375,unknown
1713973908.216565,-0.233154296875,0.714111328125,0.462890625,unknown
1713973908.254988,0.39892578125,0.8212890625,0.54248046875,unknown
1713973908.296719,0.095703125,0.861083984375,0.9931640625,unknown
1713973908.336732,0.07861328125,0.689453125,0.393798828125,unknown
1713973908.375803,-0.03662109375,0.83251953125,0.58837890625,unknown
1713973908.419234,0.061767578125,0.94677734375,0.3037109375,unknown
1713973908.45816,0.173095703125,0.87841796875,0.407470703125,unknown
1713973908.497987,0.0673828125,0.9208984375,0.49951171875,unknown
1713973908.541926,0.06982421875,0.876953125,0.521484375,unknown
1713973908.5758,0.337646484375,0.71875,0.54736328125,unknown
1713973908.623312,-0.123291015625,0.927490234375,0.4765625,unknown
1713973908.662525,0.410888671875,0.66259765625,0.13134765625,unknown
1713973908.69885,0.3623046875,0.75732421875,0.64013671875,unknown
1713973908.737081,0.284423828125,0.94873046875,0.486328125,unknown
1713973908.777943,0.88720703125,0.3525390625,0.71728515625,unknown
1713973908.818168,0.524658203125,0.573486328125,0.41015625,unknown
1713973908.861098,0.4853515625,0.708251953125,0.746337890625,unknown
1713973908.898249,0.9130859375,0.724609375,0.1708984375,unknown
1713973908.940258,0.357666015625,0.864013671875,0.4619140625,unknown
1713973908.978798,0.666259765625,0.599609375,0.50439453125,unknown
1713973909.027193,0.4638671875,0.712646484375,0.744384765625,unknown
1713973909.059182,0.315673828125,1.101318359375,0.36474609375,unknown
1713973909.103664,0.535400390625,0.574462890625,0.721923828125,unknown
1713973909.138418,0.527099609375,0.5390625,0.50341796875,unknown
1713973909.179815,0.559814453125,0.64013671875,0.556396484375,unknown
1713973909.217136,0.671875,0.5517578125,0.441162109375,unknown
1713973909.258981,0.8779296875,0.49951171875,0.619873046875,unknown
1713973909.299927,0.89306640625,0.454833984375,0.77685546875,unknown
1713973909.338008,0.596923828125,0.422119140625,0.525634765625,unknown
1713973909.378724,0.9345703125,0.308837890625,0.352783203125,unknown
1713973909.418921,0.7666015625,0.32275390625,0.251708984375,unknown
1713973909.463669,0.848876953125,0.25048828125,0.037109375,unknown
1713973909.50075,0.975830078125,0.23486328125,0.16943359375,unknown
1713973909.539862,0.765380859375,0.235595703125,0.228271484375,unknown
1713973909.57845,1.08935546875,-0.02783203125,-0.101806640625,unknown
1713973909.632292,1.039306640625,-0.001708984375,0.10498046875,unknown
1713973909.659816,1.06396484375,-0.023193359375,0.09130859375,unknown
1713973909.708423,1.021240234375,0.129150390625,0.33740234375,unknown
1713973909.745473,0.961181640625,0.0478515625,0.0107421875,unknown
1713973909.781013,0.934814453125,0.11962890625,0.0244140625,unknown
1713973909.825421,1.021240234375,0.1435546875,0.0966796875,unknown
1713973909.868205,0.8203125,0.203125,0.05517578125,unknown
1713973909.897479,0.95947265625,0.203369140625,0.133056640625,unknown
1713973909.943264,1.12744140625,0.0771484375,0.123291015625,unknown
1713973909.978535,1.19091796875,0.0966796875,0.445068359375,unknown
1713973910.028107,1.004638671875,0.047119140625,0.10693359375,unknown
1713973910.059215,0.988525390625,0.18017578125,0.18701171875,unknown
1713973910.103394,0.922119140625,0.1201171875,0.15625,unknown
1713973910.146963,0.991943359375,0.128173828125,0.111572265625,unknown
1713973910.193996,1.041015625,0.080078125,0.09814453125,unknown
1713973910.222348,0.92431640625,0.146240234375,0.2197265625,unknown
1713973910.262136,0.904541015625,0.12255859375,0.270263671875,unknown
1713973910.301235,1.00634765625,0.075439453125,0.1240234375,unknown
1713973910.34107,1.042236328125,0.141845703125,0.11962890625,unknown
1713973910.381823,0.89990234375,0.265625,0.216064453125,unknown
1713973910.435059,1.1083984375,0.221435546875,0.296142578125,unknown
1713973910.463333,1.058349609375,0.271484375,0.076904296875,unknown
1713973910.515315,0.910400390625,0.40576171875,0.09130859375,unknown
1713973910.540922,0.898681640625,0.433349609375,0.10888671875,unknown
1713973910.590002,0.94580078125,0.239990234375,-0.17626953125,unknown
1713973910.620738,0.828857421875,0.20703125,-0.135498046875,unknown
1713973910.659783,0.77587890625,0.3046875,-0.2177734375,unknown
1713973910.702971,0.926513671875,0.2841796875,-0.1474609375,unknown
1713973910.754499,0.832763671875,0.25537109375,-0.19091796875,unknown
1713973910.782149,0.976806640625,0.102783203125,-0.348388671875,unknown
1713973910.822364,0.97412109375,0.30322265625,-0.3818359375,unknown
1713973910.865939,0.97705078125,0.1494140625,-0.278076171875,unknown
1713973910.901134,0.95361328125,0.2294921875,-0.150146484375,unknown
1713973910.942888,1.069580078125,0.11328125,0.12646484375,unknown
1713973910.982446,0.930419921875,0.16796875,0.29052734375,unknown
1713973911.023435,0.99951171875,0.25634765625,0.364990234375,unknown
1713973911.063122,0.98974609375,0.155517578125,0.262939453125,unknown
1713973911.105499,0.8896484375,0.197509765625,-0.056396484375,unknown
1713973911.142769,0.884521484375,0.31884765625,0.141845703125,unknown
1713973911.182255,0.729736328125,0.254150390625,-0.085205078125,unknown
1713973911.221009,1.02490234375,0.2080078125,-0.335205078125,unknown
1713973911.263487,0.869140625,0.34033203125,-0.366455078125,unknown
1713973911.307779,0.804443359375,0.322998046875,-0.330078125,unknown
1713973911.344562,0.833984375,0.2763671875,-0.514892578125,unknown
1713973911.391575,0.91015625,0.162353515625,-0.68505859375,unknown
1713973911.434068,0.8408203125,0.248779296875,-0.5224609375,unknown
1713973911.464385,0.84814453125,0.187255859375,-0.45361328125,unknown
1713973911.510541,0.685302734375,0.1640625,-0.702880859375,unknown
1713973911.546521,0.846435546875,0.15185546875,-0.582275390625,unknown
1713973911.598129,0.892578125,0.025146484375,-0.700927734375,unknown
1713973911.625872,0.752685546875,0.167724609375,-0.7216796875,unknown
1713973911.665919,0.810302734375,0.262451171875,-0.1416015625,unknown
1713973911.708314,1.023681640625,0.122314453125,-0.234619140625,unknown
1713973911.744924,0.932861328125,0.194091796875,0.006103515625,unknown
1713973911.786972,1.021728515625,0.19140625,-0.11376953125,unknown
1713973911.826834,0.92236328125,0.272705078125,-0.099853515625,unknown
1713973911.86561,0.891845703125,0.211181640625,-0.2216796875,unknown
1713973911.905102,0.948486328125,0.244873046875,-0.294189453125,unknown
1713973911.942956,0.814453125,0.302978515625,-0.368896484375,unknown
1713973911.983907,0.92919921875,0.356689453125,-0.2822265625,unknown
1713973912.024644,0.866455078125,0.42138671875,-0.381103515625,unknown
1713973912.069422,0.917236328125,0.42333984375,-0.266357421875,unknown
1713973912.115931,0.794677734375,0.414794921875,-0.4541015625,unknown
1713973912.145432,0.81103515625,0.422119140625,-0.427490234375,unknown
1713973912.191304,0.859619140625,0.37158203125,-0.43896484375,unknown
1713973912.226683,0.76171875,0.362548828125,-0.55908203125,unknown
1713973912.270535,0.741943359375,0.39599609375,-0.518798828125,unknown
1713973912.305436,0.744140625,0.33837890625,-0.53466796875,unknown
1713973912.347127,0.7509765625,0.419677734375,-0.521240234375,unknown
1713973912.389368,0.79541015625,0.390869140625,-0.513916015625,unknown
1713973912.429445,0.810302734375,0.352783203125,-0.49072265625,unknown
1713973912.468461,0.817138671875,0.25830078125,-0.430419921875,unknown
1713973912.50514,0.912109375,0.29345703125,-0.36376953125,unknown
1713973912.545582,0.952880859375,0.16455078125,-0.2529296875,unknown
1713973912.585651,0.8701171875,0.31005859375,-0.228759765625,unknown
1713973912.62582,0.83935546875,0.38916015625,-0.25537109375,unknown
1713973912.665076,0.899169921875,0.29150390625,-0.290283203125,unknown
1713973912.711141,0.92578125,0.4375,-0.28857421875,unknown
1713973912.746033,0.93603515625,0.448974609375,-0.340576171875,unknown
1713973912.786845,0.854736328125,0.391357421875,-0.31787109375,unknown
1713973912.82751,0.863037109375,0.397216796875,-0.2734375,unknown
1713973912.867085,0.886962890625,0.389404296875,-0.262939453125,unknown
1713973912.913158,0.888427734375,0.376220703125,-0.2373046875,unknown
1713973912.94923,0.9052734375,0.368408203125,-0.2490234375,unknown
1713973912.988742,0.907470703125,0.36279296875,-0.265869140625,unknown
1713973913.028874,0.89501953125,0.355224609375,-0.24267578125,unknown
1713973913.074524,0.883056640625,0.36083984375,-0.23095703125,unknown
1713973913.107846,0.87841796875,0.370849609375,-0.253662109375,unknown
1713973913.155214,0.88330078125,0.397216796875,-0.305908203125,unknown
1713973913.194698,0.90283203125,0.421875,-0.28662109375,unknown
1713973913.259444,0.884521484375,0.439208984375,-0.2978515625,unknown
1713973913.266368,0.838623046875,0.487548828125,-0.30712890625,unknown
1713973913.309699,0.88818359375,0.45361328125,-0.318359375,unknown
1713973913.346794,0.826904296875,0.498046875,-0.3408203125,unknown
1713973913.389313,0.8056640625,0.508544921875,-0.33642578125,unknown
1713973913.425907,0.808349609375,0.491943359375,-0.372802734375,unknown
1713973913.479924,0.785888671875,0.486083984375,-0.3720703125,unknown
1713973913.507458,0.78076171875,0.4755859375,-0.406494140625,unknown
1713973913.549486,0.782958984375,0.484130859375,-0.3994140625,unknown
1713973913.596326,0.804443359375,0.49609375,-0.397705078125,unknown
1713973913.634238,0.811279296875,0.49462890625,-0.38525390625,unknown
1713973913.674764,0.8046875,0.514404296875,-0.35791015625,unknown
1713973913.713418,0.8173828125,0.245361328125,-0.301513671875,unknown
1713973913.749075,1.6328125,0.64599609375,-2.0,unknown
1713973913.789086,1.32470703125,0.521240234375,0.671142578125,unknown
1713973913.827436,0.8330078125,1.10595703125,-0.208740234375,unknown
1713973913.867893,0.845947265625,0.875,-0.3173828125,unknown
1713973913.910193,0.95703125,0.511962890625,-0.175537109375,unknown
1713973913.947827,0.60302734375,0.520751953125,-0.313232421875,unknown
1713973913.987485,0.52783203125,0.7470703125,0.096435546875,unknown
1713973914.026948,0.117431640625,0.453857421875,0.798583984375,unknown
1713973914.070021,0.96484375,0.2353515625,0.43359375,unknown
1713973914.113225,0.503662109375,0.516845703125,0.656982421875,unknown
1713973914.14823,0.7060546875,0.72216796875,0.412353515625,unknown
1713973914.204507,0.11767578125,0.820556640625,0.7001953125,unknown
1713973914.229417,0.567138671875,0.662353515625,0.336181640625,unknown
1713973914.279636,0.6923828125,0.515869140625,0.40234375,unknown
1713973914.308925,0.8125,0.765625,0.385986328125,unknown
1713973914.349807,0.510009765625,0.610595703125,0.38427734375,unknown
1713973914.390943,0.577880859375,0.7021484375,0.38330078125,unknown
1713973914.437964,0.73876953125,0.8310546875,0.29833984375,unknown
1713973914.472082,0.576171875,0.981201171875,0.177001953125,unknown
1713973914.522567,0.39453125,0.98681640625,0.264892578125,unknown
1713973914.549725,0.4443359375,0.900146484375,0.228515625,unknown
1713973914.586811,0.4326171875,0.92919921875,0.263427734375,unknown
1713973914.629158,0.573486328125,0.8798828125,0.091064453125,unknown
1713973914.670913,0.47412109375,1.049072265625,-0.147705078125,unknown
1713973914.709948,0.38232421875,1.1240234375,0.318359375,unknown
1713973914.755777,0.467041015625,0.871337890625,0.370849609375,unknown
1713973914.789,0.427001953125,0.929443359375,0.19384765625,unknown
1713973914.834512,0.43505859375,0.962646484375,0.310546875,unknown
1713973914.869002,0.493896484375,1.193603515625,-0.2314453125,unknown
1713973914.918803,0.641845703125,0.954833984375,0.385986328125,unknown
1713973914.950356,1.1630859375,0.316650390625,0.8349609375,unknown
1713973915.003868,0.1337890625,0.548583984375,0.759033203125,unknown
1713973915.033502,1.1826171875,0.49609375,0.01416015625,unknown
1713973915.074997,1.61181640625,0.018310546875,-0.1796875,unknown
1713973915.114764,0.7275390625,0.314697265625,-0.4248046875,unknown
1713973915.154189,0.5029296875,0.36669921875,0.178466796875,unknown
1713973915.187962,0.11669921875,0.61767578125,1.036865234375,unknown
1713973915.234886,0.38720703125,0.596435546875,1.2548828125,unknown
1713973915.27411,0.162353515625,0.818603515625,1.474365234375,unknown
1713973915.314728,-0.29150390625,0.524658203125,1.089599609375,unknown
1713973915.352302,-0.30419921875,0.591796875,0.96533203125,unknown
1713973915.388872,0.479248046875,0.613525390625,0.90625,unknown
1713973915.430317,0.155029296875,0.59521484375,0.82568359375,unknown
1713973915.469973,0.130859375,0.513916015625,0.95166015625,unknown
1713973915.510319,0.28564453125,0.478271484375,0.890869140625,unknown
1713973915.550923,0.3896484375,0.48046875,0.905029296875,unknown
1713973915.591949,0.3779296875,0.31201171875,1.134033203125,unknown
1713973915.630546,0.47314453125,0.28076171875,1.00048828125,unknown
1713973915.672999,0.086181640625,0.41650390625,1.02197265625,unknown
1713973915.71203,0.177978515625,0.455078125,0.816162109375,unknown
1713973915.74985,-0.014404296875,0.5361328125,0.9267578125,unknown
1713973915.789959,0.024169921875,0.474365234375,0.64892578125,unknown
1713973915.831182,-0.021484375,0.5810546875,0.739501953125,unknown
1713973915.871098,0.079833984375,0.538818359375,0.830810546875,unknown
1713973915.913504,-0.009033203125,0.6025390625,0.769287109375,unknown
1713973915.95064,0.181640625,0.58544921875,0.685546875,unknown
1713973915.990276,-0.21240234375,0.582763671875,0.7841796875,unknown
1713973916.029927,0.389892578125,0.92529296875,1.313720703125,unknown
1713973916.071784,0.427001953125,0.535400390625,1.17919921875,unknown
1713973916.110888,0.179443359375,0.529052734375,1.186767578125,unknown
1713973916.160449,0.235595703125,0.475341796875,0.748779296875,unknown
1713973916.191824,0.51953125,0.406982421875,0.65087890625,unknown
1713973916.242116,0.590087890625,0.3125,0.63330078125,unknown
1713973916.272076,0.76513671875,0.21533203125,0.117919921875,unknown
1713973916.319091,0.949462890625,0.178955078125,-0.016357421875,unknown
1713973916.353357,0.974609375,0.044921875,-0.11572265625,unknown
1713973916.392013,1.009033203125,0.0595703125,0.1162109375,unknown
1713973916.435605,1.033935546875,-0.0498046875,-0.346923828125,unknown
1713973916.470111,0.871337890625,0.095458984375,0.039794921875,unknown
1713973916.5092,0.97412109375,0.216064453125,0.18115234375,unknown
1713973916.550387,0.8115234375,0.11181640625,0.08837890625,unknown
1713973916.591478,1.13134765625,-0.045166015625,-0.103271484375,unknown
1713973916.633828,1.1103515625,-0.0244140625,-0.00439453125,unknown
1713973916.67164,0.861083984375,0.071044921875,-0.09765625,unknown
1713973916.71153,1.057373046875,0.19970703125,0.443603515625,unknown
1713973916.754191,1.1103515625,-0.066650390625,-0.009765625,unknown
1713973916.794296,0.97314453125,-0.000244140625,0.002197265625,unknown
1713973916.837547,0.942626953125,0.071044921875,0.00439453125,unknown
1713973916.877934,1.050048828125,-0.020263671875,0.1962890625,unknown
1713973916.918098,0.9541015625,0.08203125,0.123291015625,unknown
1713973916.959301,1.102783203125,0.091064453125,0.072998046875,unknown
1713973917.001605,0.789794921875,0.321533203125,-0.08056640625,unknown
1713973917.036339,1.067626953125,0.103515625,0.052490234375,unknown
1713973917.072727,0.96875,0.137939453125,0.000244140625,unknown
1713973917.127129,0.9501953125,0.196533203125,-0.02392578125,unknown
1713973917.150516,1.022216796875,0.26318359375,0.08642578125,unknown
1713973917.192832,1.0361328125,0.2236328125,0.379638671875,unknown
1713973917.234834,0.892822265625,0.252685546875,0.108154296875,unknown
1713973917.271236,0.992919921875,0.213134765625,-0.037353515625,unknown
1713973917.313717,1.07958984375,0.19873046875,-0.01708984375,unknown
1713973917.351983,1.1064453125,0.09423828125,-0.112548828125,unknown
1713973917.391969,0.90771484375,0.121337890625,-0.120361328125,unknown
1713973917.435491,1.031005859375,0.039306640625,-0.25732421875,unknown
1713973917.473995,0.95703125,0.0927734375,-0.2080078125,unknown
1713973917.513559,0.9423828125,0.148681640625,-0.303466796875,unknown
1713973917.557283,0.97216796875,0.1455078125,-0.26025390625,unknown
1713973917.599643,0.92431640625,0.17578125,-0.24755859375,unknown
1713973917.641837,0.969970703125,0.17431640625,-0.17236328125,unknown
1713973917.674378,0.962890625,0.181884765625,-0.162109375,unknown
1713973917.728565,0.970947265625,0.1826171875,-0.158935546875,unknown
1713973917.754025,0.9951171875,0.155517578125,-0.110107421875,unknown
1713973917.791195,1.076171875,0.1279296875,-0.04443359375,unknown
1713973917.832587,1.0087890625,0.2333984375,-0.00634765625,unknown
1713973917.872389,0.9443359375,0.283935546875,0.109375,unknown
1713973917.911885,0.995361328125,0.809326171875,-0.025146484375,unknown
1713973917.953256,1.142578125,0.219482421875,0.03515625,unknown
1713973917.992878,0.9189453125,0.254150390625,0.248291015625,unknown
1713973918.034719,0.86181640625,0.36572265625,0.303955078125,unknown
1713973918.073967,1.017822265625,0.552001953125,0.21484375,unknown
1713973918.114373,0.8681640625,0.5771484375,0.357177734375,unknown
1713973918.154983,0.7783203125,0.60205078125,0.33203125,unknown
1713973918.198374,0.802734375,0.709228515625,0.330078125,unknown
1713973918.244543,0.674072265625,0.71875,0.302001953125,unknown
1713973918.274266,0.66943359375,0.714599609375,0.27978515625,unknown
1713973918.318341,0.680908203125,0.715087890625,0.265380859375,unknown
1713973918.358819,0.693603515625,0.68310546875,0.2900390625,unknown
1713973918.394896,0.7080078125,0.653076171875,0.30126953125,unknown
1713973918.43313,0.71875,0.626953125,0.312255859375,unknown
1713973918.472526,0.72509765625,0.62060546875,0.355712890625,unknown
1713973918.513392,0.724609375,0.616943359375,0.335693359375,unknown
1713973918.55601,0.71533203125,0.60546875,0.34814453125,unknown
1713973918.60342,0.7275390625,0.600341796875,0.342529296875,unknown
1713973918.634593,0.716552734375,0.61767578125,0.348876953125,unknown
1713973918.688307,0.704345703125,0.64453125,0.331298828125,unknown
1713973918.714099,0.730224609375,0.66015625,0.29443359375,unknown
1713973918.759817,0.740966796875,0.686767578125,0.245849609375,unknown
1713973918.794913,0.733154296875,0.654296875,0.28662109375,unknown
1713973918.835178,0.749755859375,0.657958984375,0.237060546875,unknown
1713973918.8759,0.729736328125,0.66259765625,0.232666015625,unknown
1713973918.91525,0.75146484375,0.657958984375,0.2138671875,unknown
1713973918.961513,0.7353515625,0.661865234375,0.214599609375,unknown
1713973918.994891,0.72021484375,0.6953125,0.197998046875,unknown
1713973919.033938,0.74072265625,0.687744140625,0.14111328125,unknown
1713973919.074306,0.732421875,0.685302734375,0.13916015625,unknown
1713973919.117975,0.7373046875,0.693603515625,0.161376953125,unknown
1713973919.152502,0.74755859375,0.66259765625,0.15576171875,unknown
1713973919.202091,0.730712890625,0.648681640625,0.1826171875,unknown
1713973919.233873,0.7431640625,0.658447265625,0.185546875,unknown
1713973919.277979,0.74951171875,0.655517578125,0.174072265625,unknown
1713973919.314021,0.746337890625,0.66259765625,0.18115234375,unknown
1713973919.353847,0.748046875,0.66796875,0.183349609375,unknown
1713973919.395593,0.739013671875,0.671630859375,0.207275390625,unknown
1713973919.434155,0.7451171875,0.682861328125,0.208984375,unknown
1713973919.474348,0.7314453125,0.6630859375,0.18798828125,unknown
