ts,x_ear,y_ear,z_ear,label
1713973355.779594,-0.23876953125,-0.468017578125,-0.850830078125,unknown
1713973355.812047,-0.237060546875,-0.466064453125,-0.849853515625,unknown
1713973355.852985,-0.237548828125,-0.464599609375,-0.850830078125,unknown
1713973355.896117,-0.23974609375,-0.466552734375,-0.8515625,unknown
1713973355.93405,-0.239013671875,-0.465576171875,-0.8505859375,unknown
1713973355.97393,-0.239501953125,-0.465576171875,-0.848876953125,unknown
1713973356.016453,-0.2412109375,-0.464599609375,-0.847900390625,unknown
1713973356.081646,-0.238525390625,-0.4658203125,-0.8505859375,unknown
1713973356.1502,-0.238525390625,-0.467041015625,-0.849853515625,unknown
1713973356.164567,-0.2373046875,-0.466796875,-0.8486328125,unknown
1713973356.178862,-0.23779296875,-0.462158203125,-0.85009765625,unknown
1713973356.271404,-0.236572265625,-0.4638671875,-0.85205078125,unknown
1713973356.272272,-0.236083984375,-0.46533203125,-0.848876953125,unknown
1713973356.293686,-0.24072265625,-0.4638671875,-0.850341796875,unknown
1713973356.335478,-0.239501953125,-0.46240234375,-0.84814453125,unknown
1713973356.371628,-0.2392578125,-0.466552734375,-0.849853515625,unknown
1713973356.413134,-0.235595703125,-0.464111328125,-0.849853515625,unknown
1713973356.452769,-0.237060546875,-0.466796875,-0.8505859375,unknown
1713973356.493714,-0.236328125,-0.46484375,-0.851806640625,unknown
1713973356.53771,-0.237548828125,-0.46435546875,-0.8515625,unknown
1713973356.57368,-0.239501953125,-0.46484375,-0.852783203125,unknown
1713973356.616079,-0.23876953125,-0.464599609375,-0.851318359375,unknown
1713973356.655116,-0.236328125,-0.464111328125,-0.85302734375,unknown
1713973356.694879,-0.235595703125,-0.464111328125,-0.8505859375,unknown
1713973356.736787,-0.239501953125,-0.463623046875,-0.851318359375,unknown
1713973356.780068,-0.23876953125,-0.46533203125,-0.849609375,unknown
1713973356.81656,-0.2373046875,-0.466064453125,-0.8505859375,unknown
1713973356.856919,-0.240234375,-0.463623046875,-0.85107421875,unknown
1713973356.895266,-0.23828125,-0.46630859375,-0.85009765625,unknown
1713973356.935503,-0.239013671875,-0.4658203125,-0.849365234375,unknown
1713973356.98028,-0.238525390625,-0.46484375,-0.849853515625,unknown
1713973357.01959,-0.237548828125,-0.464111328125,-0.848388671875,unknown
1713973357.055155,-0.23876953125,-0.4638671875,-0.849365234375,unknown
1713973357.097043,-0.23876953125,-0.467041015625,-0.849365234375,unknown
1713973357.135115,-0.235595703125,-0.46435546875,-0.851318359375,unknown
1713973357.17531,-0.23583984375,-0.465087890625,-0.850341796875,unknown
1713973357.215007,-0.238525390625,-0.4638671875,-0.848876953125,unknown
1713973357.254705,-0.23974609375,-0.467041015625,-0.8525390625,unknown
1713973357.296677,-0.236328125,-0.462890625,-0.8505859375,unknown
1713973357.336574,-0.2392578125,-0.46630859375,-0.849853515625,unknown
1713973357.376591,-0.239501953125,-0.46435546875,-0.85205078125,unknown
1713973357.418336,-0.23828125,-0.465576171875,-0.850341796875,unknown
1713973357.457976,-0.23974609375,-0.4658203125,-0.848876953125,unknown
1713973357.497628,-0.238037109375,-0.46484375,-0.849365234375,unknown
1713973357.538173,-0.23974609375,-0.46337890625,-0.84912109375,unknown
1713973357.576729,-0.23583984375,-0.462890625,-0.85107421875,unknown
1713973357.615907,-0.238525390625,-0.466064453125,-0.850341796875,unknown
1713973357.656651,-0.238525390625,-0.46533203125,-0.849609375,unknown
1713973357.697026,-0.23681640625,-0.46484375,-0.851318359375,unknown
1713973357.738579,-0.240234375,-0.462890625,-0.8515625,unknown
1713973357.780678,-0.238525390625,-0.463623046875,-0.8515625,unknown
1713973357.822534,-0.23876953125,-0.464599609375,-0.850830078125,unknown
1713973357.864312,-0.2392578125,-0.464111328125,-0.851806640625,unknown
1713973357.904997,-0.239990234375,-0.465087890625,-0.849609375,unknown
1713973357.939691,-0.238525390625,-0.462890625,-0.85107421875,unknown
1713973357.978213,-0.236328125,-0.464111328125,-0.851318359375,unknown
1713973358.016832,-0.23876953125,-0.463134765625,-0.8515625,unknown
1713973358.058784,-0.237060546875,-0.465576171875,-0.850341796875,unknown
1713973358.098829,-0.23828125,-0.4677734375,-0.84814453125,unknown
1713973358.144988,-0.2373046875,-0.464111328125,-0.848388671875,unknown
1713973358.179196,-0.239990234375,-0.46337890625,-0.850341796875,unknown
1713973358.217681,-0.237060546875,-0.463623046875,-0.85107421875,unknown
1713973358.25699,-0.238525390625,-0.46435546875,-0.84765625,unknown
1713973358.297456,-0.23876953125,-0.46435546875,-0.84814453125,unknown
1713973358.337693,-0.240234375,-0.46435546875,-0.849609375,unknown
1713973358.379794,-0.23974609375,-0.46826171875,-0.84814453125,unknown
1713973358.419083,-0.23828125,-0.466552734375,-0.853515625,unknown
1713973358.457087,-0.238525390625,-0.46484375,-0.850341796875,unknown
