label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,24.0475,1716.825396825397,4124,15468,-1840,2.6
Get ready,24.235,1558.7301587301588,-7468,3888,-9268,2.6
Get ready,24.235,1147.3015873015872,-580,-996,-22648,2.6
Get ready,24.0475,1036.1904761904761,-2688,320,-16392,2.6
Get ready,24.36,1126.984126984127,-5288,-5276,-27680,2.6
Get ready,24.4375,1574.4810744810745,16348,-2020,-1776,2.5
Get ready,24.5,1231.3797313797313,20084,8480,-22272,2.5
Get ready,24.375,1575.7020757020757,-24036,-7032,-12648,2.5
Get ready,25.1875,526.2515262515262,16432,-1040,-1328,2.5
Get ready,27.25,567.7655677655678,15668,-464,2080,2.5
Get ready,28.75,657.5091575091575,16440,-1912,1732,2.5
Get ready,29.6875,527.4725274725274,16016,-672,1600,2.5
Get ready,30.375,532.967032967033,16776,-440,856,2.5
Get ready,30.5625,509.7680097680098,15488,-1756,1696,2.5
Get ready,31.1875,533.5775335775336,17304,-1240,1920,2.5
Get ready,31.375,605.006105006105,17424,-7964,-876,2.5
Get ready,31.5,628.8156288156288,9056,-10152,-6608,2.5
Get ready,31.9375,614.1636141636142,16448,-1164,1392,2.5
Get ready,32.0625,648.3516483516484,17380,-1892,-292,2.5
Get ready,32.0625,1056.7765567765568,15964,-512,1264,2.5
Get ready,32.25,1426.129426129426,16228,-880,1096,2.5
Get ready,32.1875,1254.5787545787546,16236,-1064,1364,2.5
Get ready,32.5,1116.6056166056167,16312,-1176,1340,2.5
Get ready,32.5,1059.8290598290598,17740,68,352,2.5
Get ready,32.1875,553.7240537240538,15876,-2988,1760,2.5
unknown,32.75,817.4603174603175,15396,-644,1452,2.5
unknown,32.5625,678.2661782661783,16108,-1420,704,2.5
unknown,32.625,551.2820512820513,16056,-980,1144,2.5
unknown,32.875,559.2185592185592,16352,-1348,872,2.5
unknown,32.75,554.945054945055,16212,-712,1540,2.5
Wear with mouth closed,33.0625,561.050061050061,16256,64,1068,2.5
Wear with mouth closed,32.8125,561.050061050061,16292,-348,936,2.5
Wear with mouth closed,33.0,561.6605616605617,16348,-404,788,2.5
Wear with mouth closed,32.9375,557.997557997558,16348,-392,884,2.5
Wear with mouth closed,33.0,541.5140415140415,16296,-484,948,2.5
Wear with mouth closed,33.0,544.5665445665446,16292,-528,832,2.5
Wear with mouth closed,33.25,556.1660561660561,16312,-516,892,2.5
Wear with mouth closed,33.1875,563.4920634920635,16364,-604,880,2.5
Wear with mouth closed,33.0,560.4395604395604,16316,-556,868,2.5
Wear with mouth closed,33.25,554.945054945055,16308,-580,904,2.5
Wear with mouth closed,33.1875,545.1770451770452,16332,-596,892,2.5
Wear with mouth closed,33.0625,547.6190476190476,16324,-588,816,2.5
Wear with mouth closed,33.25,547.6190476190476,16284,-556,768,2.5
Wear with mouth closed,33.1875,552.5030525030525,16272,-612,836,2.5
Wear with mouth closed,33.1875,553.1135531135532,16280,-656,832,2.5
Wear with mouth closed,33.0625,548.2295482295482,16328,-620,820,2.5
Wear with mouth closed,33.25,552.5030525030525,16300,-568,788,2.5
Wear with mouth closed,33.25,553.7240537240538,16324,-672,744,2.5
Wear with mouth closed,33.25,556.1660561660561,16256,-680,824,2.5
Wear with mouth closed,33.25,558.6080586080586,16264,-740,848,2.5
Wear with mouth closed,33.25,556.7765567765567,16296,-684,760,2.5
Wear with mouth closed,33.3125,556.7765567765567,16244,-784,728,2.5
Wear with mouth closed,33.375,560.4395604395604,16320,-752,716,2.5
Wear with mouth closed,33.375,561.050061050061,16320,-712,672,2.5
Wear with mouth closed,33.375,566.5445665445666,16320,-780,720,2.5
unknown,33.3125,559.2185592185592,16372,-764,696,2.5
unknown,33.5625,561.6605616605617,16248,-824,640,2.5
unknown,33.375,562.8815628815629,16280,-764,676,2.5
unknown,33.25,561.6605616605617,16244,-808,708,2.5
unknown,33.3125,562.2710622710623,16320,-840,632,2.5
Get ready to drink,33.5625,564.7130647130647,16336,-900,644,2.5
Get ready to drink,33.75,571.4285714285714,15700,-420,2408,2.5
Get ready to drink,33.3125,581.8070818070818,15556,-4480,1600,2.5
Get ready to drink,33.6875,604.3956043956044,16576,-2324,648,2.5
Get ready to drink,33.7025,606.007326007326,15476,-4552,-3572,2.4
Get ready to drink,33.4525,656.996336996337,15680,-2600,-1980,2.4
Get ready to drink,33.64,679.2673992673992,14496,-2780,-3572,2.4
Get ready to drink,33.64,767.1794871794872,8888,6604,-11352,2.4
Get ready to drink,33.515,626.5201465201466,13588,-904,-656,2.4
Get ready to drink,33.8275,696.8498168498169,19616,-548,4220,2.4
unknown,33.515,560.8791208791208,16140,-1404,436,2.4
unknown,33.7025,700.3663003663004,16340,-1684,-1432,2.4
unknown,33.7025,566.7399267399267,16044,-1616,-228,2.4
unknown,33.7025,619.4871794871793,15764,-3540,-1988,2.4
unknown,33.89,615.9706959706959,15756,-3520,-1968,2.4
unknown,33.8275,604.8351648351647,15788,-3772,-2232,2.4
unknown,33.89,520.4395604395604,15764,-3804,-2136,2.4
unknown,34.265,519.8534798534797,15732,-3732,-2192,2.4
unknown,34.265,523.3699633699633,15772,-3672,-1924,2.4
unknown,34.3275,520.4395604395604,15768,-3768,-1896,2.4
Rest with mouth closed,34.265,527.4725274725274,15792,-3628,-1648,2.4
Rest with mouth closed,34.39,524.5421245421245,15612,-3488,-1664,2.4
Rest with mouth closed,34.39,545.6410256410256,16152,-2532,-1236,2.4
Rest with mouth closed,34.0775,553.8461538461538,16204,-1764,-12,2.4
Rest with mouth closed,34.015,540.952380952381,16192,-1224,780,2.4
unknown,34.015,548.5714285714286,16344,-1468,1168,2.4
unknown,33.765,549.157509157509,16200,-1460,944,2.4
unknown,33.765,551.5018315018315,16200,-1596,792,2.4
unknown,33.89,550.9157509157509,16244,-1512,712,2.4
unknown,33.765,555.0183150183149,16248,-1512,664,2.4
Wear with mouth open,33.8275,557.3626373626373,16268,-1460,636,2.4
Wear with mouth open,33.7025,557.3626373626373,16228,-1468,600,2.4
Wear with mouth open,33.8275,633.5531135531136,16092,-1652,700,2.4
Wear with mouth open,33.765,608.3516483516484,16268,-972,1432,2.4
Wear with mouth open,33.8275,610.1098901098901,16300,-1472,948,2.4
Wear with mouth open,33.8275,613.040293040293,16228,-1448,836,2.4
Wear with mouth open,33.8275,617.1428571428571,16220,-1404,676,2.4
Wear with mouth open,34.015,617.7289377289377,16288,-1432,612,2.4
Wear with mouth open,34.0775,620.6593406593406,16192,-1424,648,2.4
Wear with mouth open,33.765,623.5897435897435,16188,-1384,632,2.4
Wear with mouth open,33.89,627.1062271062272,16240,-1404,620,2.4
Wear with mouth open,33.8275,629.4505494505495,16172,-1536,732,2.4
Wear with mouth open,33.9525,624.7619047619048,16268,-1268,484,2.4
Wear with mouth open,33.89,628.8644688644689,16232,-1384,668,2.4
Wear with mouth open,33.89,631.2087912087911,16216,-1480,660,2.4
Wear with mouth open,33.89,631.7948717948718,16216,-1572,612,2.4
Wear with mouth open,33.7025,634.139194139194,16188,-1500,564,2.4
Wear with mouth open,33.765,632.3809523809524,16232,-1504,532,2.4
Wear with mouth open,33.7025,631.2087912087911,16252,-1492,504,2.4
Wear with mouth open,33.7025,636.4835164835165,16264,-1548,500,2.4
Wear with mouth open,34.015,639.9999999999999,16172,-1616,508,2.4
Wear with mouth open,33.64,632.3809523809524,16268,-1664,548,2.4
Wear with mouth open,33.7025,635.3113553113553,16204,-1616,412,2.4
Wear with mouth open,33.8425,606.031746031746,16324,-1612,420,2.3
Wear with mouth open,34.155,606.5934065934066,16240,-1480,692,2.3
unknown,33.9675,607.1550671550671,16248,-1324,796,2.3
unknown,34.0925,605.4700854700853,16228,-1396,836,2.3
unknown,33.9675,609.4017094017094,16180,-1392,828,2.3
unknown,33.8425,614.4566544566544,16264,-1384,784,2.3
unknown,33.78,619.5115995115993,16252,-1348,752,2.3
Speaking,33.8425,615.5799755799754,16268,-1400,732,2.3
Speaking,34.155,620.07326007326,16268,-1348,720,2.3
Speaking,33.8425,617.8266178266178,17164,-1204,1304,2.3
Speaking,33.78,551.5506715506715,15860,856,844,2.3
Speaking,33.7175,565.0305250305249,16128,-1692,-1040,2.3
Speaking,33.905,567.2771672771672,15428,-904,-2512,2.3
Speaking,33.7175,762.7350427350426,16936,-2596,-1256,2.3
Speaking,33.5925,570.6471306471306,17092,-1956,-1864,2.3
Speaking,34.03,679.6092796092796,16644,-1832,-1324,2.3
Speaking,33.905,611.6483516483516,17096,-376,-808,2.3
Speaking,34.03,607.7167277167277,16156,-1448,-1580,2.3
Speaking,33.655,714.9938949938949,16644,-1136,668,2.3
Speaking,33.8425,555.4822954822955,17028,-2372,-1732,2.3
Speaking,33.78,565.5921855921856,15604,-1320,-272,2.3
Speaking,33.9675,589.1819291819291,19560,1348,1376,2.3
Speaking,33.7175,567.2771672771672,16284,-196,112,2.3
Speaking,33.655,670.6227106227107,19832,828,1544,2.3
Speaking,33.7175,1076.141636141636,15560,-960,-848,2.3
Speaking,33.905,611.6483516483516,16376,-2176,-1976,2.3
Speaking,33.7175,669.4993894993895,15204,-132,688,2.3
Speaking,33.905,597.6068376068376,17744,-2196,-1492,2.3
Speaking,33.655,681.2942612942612,16060,-1132,-620,2.3
Speaking,33.5925,805.9829059829059,15540,-644,-464,2.3
Speaking,33.5925,691.965811965812,18156,-1140,-376,2.3
Speaking,33.78,571.2087912087912,16436,-1384,-608,2.3
unknown,33.905,632.4297924297923,15736,-336,24,2.3
unknown,33.655,578.5103785103785,16372,-1200,-972,2.3
unknown,33.905,1186.7887667887667,16824,-1824,-1108,2.3
unknown,33.655,567.8388278388277,16212,-1024,-388,2.3
unknown,33.5925,624.5665445665446,14172,-1412,-1008,2.3
