label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,26.72,1854.7252747252746,5728,16736,2788,2.7
Get ready,26.7675,1995.2136752136753,3500,13776,-6216,2.8
Get ready,26.8925,2144.9572649572647,2544,14180,-6820,2.8
Get ready,27.4375,2045.7875457875457,2732,14020,-6620,2.5
Get ready,27.61,1722.5396825396826,13076,6892,-880,2.6
Get ready,27.61,1801.904761904762,10548,9068,-6624,2.6
Get ready,27.6725,1788.5714285714287,13840,6816,-2668,2.6
Get ready,27.735,837.4603174603175,15408,3600,-368,2.6
Get ready,28.735,549.2063492063492,15868,776,4320,2.6
Get ready,31.235,579.6825396825396,15720,2644,3136,2.6
Get ready,32.1725,555.5555555555555,15428,2312,8656,2.6
Get ready,33.0475,550.4761904761906,15608,80,2964,2.6
Get ready,33.7975,554.2857142857143,15596,1136,2312,2.6
Get ready,33.985,557.4603174603175,15744,1520,2148,2.6
Get ready,34.4225,559.3650793650794,15704,1636,2088,2.6
Get ready,34.4225,556.1904761904761,15732,1692,2068,2.6
Get ready,34.485,560.0000000000001,15688,1720,2052,2.6
Get ready,34.36,561.2698412698413,15760,1720,2132,2.6
Get ready,34.6725,562.5396825396825,15732,1700,2160,2.6
Get ready,34.86,565.7142857142857,15740,1724,2124,2.6
Get ready,34.7975,541.5873015873016,15680,1708,2112,2.6
Get ready,34.9375,523.8095238095239,15712,1632,2024,2.5
Get ready,35.0,525.6410256410256,15732,1812,2220,2.5
Get ready,35.3125,529.3040293040293,15712,1792,2176,2.5
Get ready,34.9375,533.5775335775336,15824,2436,2088,2.5
unknown,35.1875,537.2405372405373,15632,1272,2088,2.5
unknown,35.25,536.0195360195361,14860,936,1868,2.5
unknown,35.375,549.4505494505495,16596,752,2020,2.5
unknown,35.4375,550.0610500610501,15824,1712,2260,2.5
unknown,35.625,544.5665445665446,15704,1732,1956,2.5
Grinding,35.625,553.1135531135532,15896,1380,1836,2.5
Grinding,35.6875,550.6715506715507,16140,1072,2044,2.5
Grinding,35.75,543.3455433455433,15520,2168,1876,2.5
Grinding,35.6875,555.5555555555555,16012,1336,1688,2.5
Grinding,35.75,571.4285714285714,16260,1344,1304,2.5
Grinding,35.8125,557.3870573870574,15880,1416,1900,2.5
Grinding,35.875,551.8925518925519,13612,2108,740,2.5
Grinding,35.9375,563.4920634920635,15852,1800,1800,2.5
Grinding,35.8125,556.7765567765567,15564,1312,1904,2.5
Grinding,35.875,550.6715506715507,15756,1536,1856,2.5
unknown,35.875,556.1660561660561,15772,1720,1688,2.5
unknown,36.1875,553.1135531135532,15784,1768,1908,2.5
unknown,35.9375,547.008547008547,15648,1344,1720,2.5
unknown,36.0625,549.4505494505495,15740,1516,1880,2.5
unknown,36.1875,553.1135531135532,15728,1504,1904,2.5
Not grinding,36.1875,551.2820512820513,15744,1496,1788,2.5
Not grinding,36.3125,561.050061050061,15756,1516,1816,2.5
Not grinding,36.1875,563.4920634920635,15712,1548,1828,2.5
Not grinding,36.1875,560.4395604395604,15720,1492,1784,2.5
Not grinding,36.25,565.934065934066,15736,1416,1776,2.5
Not grinding,36.4375,566.5445665445666,15772,1544,1828,2.5
Not grinding,36.1875,570.8180708180709,15692,1532,1784,2.5
Not grinding,36.4375,561.050061050061,15768,1528,1756,2.5
Not grinding,36.3125,562.8815628815629,15756,1420,1792,2.5
Not grinding,36.4375,565.3235653235653,15740,1440,1892,2.5
unknown,36.4375,570.2075702075703,15700,1596,1824,2.5
unknown,36.375,567.7655677655678,15740,1524,1820,2.5
unknown,36.375,570.8180708180709,15756,1428,1764,2.5
unknown,36.375,570.2075702075703,15560,1916,2320,2.5
unknown,36.4375,590.9645909645909,15428,244,1408,2.5
Grinding,36.64,516.3369963369963,15948,2976,2628,2.4
Grinding,36.9525,550.3296703296703,15340,656,1976,2.4
Grinding,36.765,557.9487179487178,16076,1592,2280,2.4
Grinding,36.89,553.2600732600732,15276,660,2328,2.4
Grinding,36.765,563.2234432234433,15444,1576,2416,2.4
Grinding,36.8275,561.4652014652015,15880,1348,1660,2.4
Grinding,36.8275,565.5677655677656,15760,1732,1764,2.4
Grinding,36.8275,573.7728937728938,15816,1200,1760,2.4
Grinding,36.89,551.5018315018315,15860,1740,1780,2.4
Grinding,37.015,567.9120879120879,16248,2412,-564,2.4
unknown,37.14,549.157509157509,15324,1900,1832,2.4
unknown,37.14,555.6043956043956,16016,2160,1688,2.4
unknown,36.9525,555.0183150183149,16428,2868,240,2.4
unknown,36.9525,556.7765567765567,15932,1536,276,2.4
unknown,36.9525,556.7765567765567,16260,2408,2760,2.4
Not grinding,37.0775,557.3626373626373,15548,2252,1596,2.4
Not grinding,37.14,553.2600732600732,15868,1368,1772,2.4
Not grinding,37.0775,556.7765567765567,15672,1352,1548,2.4
Not grinding,37.265,559.1208791208791,15780,1240,1320,2.4
Not grinding,37.2025,561.4652014652015,15812,1152,1168,2.4
Not grinding,37.2025,562.6373626373627,15812,1316,1220,2.4
Not grinding,37.2025,566.1538461538462,15820,1352,1228,2.4
Not grinding,37.2025,568.4981684981685,15808,1404,1236,2.4
Not grinding,37.14,572.014652014652,15816,1336,1196,2.4
Not grinding,37.3275,548.5714285714286,15896,1328,1220,2.4
unknown,37.14,552.6739926739926,15844,1400,1176,2.4
unknown,37.14,554.4322344322344,15784,1468,1252,2.4
unknown,37.2025,555.6043956043956,15700,1524,1228,2.4
unknown,37.4525,551.5018315018315,15720,1440,1224,2.4
unknown,37.39,552.087912087912,16100,2172,1352,2.4
Grinding,37.4525,553.8461538461538,15852,1296,1204,2.4
Grinding,37.5775,556.1904761904761,15820,1212,1112,2.4
Grinding,37.4525,553.2600732600732,16128,1404,1144,2.4
Grinding,37.515,556.1904761904761,15800,1608,1248,2.4
Grinding,37.39,557.9487179487178,15524,2224,1620,2.4
Grinding,37.265,557.3626373626373,15928,1252,1132,2.4
Grinding,37.14,560.2930402930403,16080,896,1028,2.4
Grinding,37.4525,560.8791208791208,15804,2220,1260,2.4
Grinding,37.515,563.8095238095237,15716,1824,1312,2.4
Grinding,37.39,565.5677655677656,15808,1460,1004,2.4
unknown,37.53,533.5775335775336,15756,1868,1224,2.3
unknown,37.655,537.5091575091575,15784,1684,1124,2.3
unknown,37.5925,537.5091575091575,15776,1868,1216,2.3
unknown,37.7175,533.5775335775336,15776,1692,1176,2.3
unknown,37.28,531.3308913308912,15800,1716,1156,2.3
Not grinding,37.78,536.3858363858363,15760,1656,1112,2.3
Not grinding,37.5925,537.5091575091575,15772,1656,1132,2.3
Not grinding,37.78,540.3174603174604,15768,1684,876,2.3
Not grinding,37.5925,535.8241758241758,15800,1632,1588,2.3
