label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,24.9225,719.3650793650794,-1700,14724,7952,2.6
Get ready,24.735,721.2698412698413,516,16176,4492,2.6
Get ready,24.735,1173.3333333333333,6408,14676,6224,2.6
Get ready,24.735,1048.2539682539682,11528,15420,3832,2.6
Get ready,24.86,668.5714285714286,4280,17092,3320,2.6
Get ready,24.86,927.6190476190476,1196,15752,6360,2.6
Get ready,24.7975,821.5873015873016,-2556,15120,8900,2.6
Get ready,24.86,681.9047619047619,-6204,-5492,-10664,2.6
Get ready,24.86,677.4603174603176,16712,-1708,-4072,2.6
Get ready,26.2975,516.1904761904761,15404,-3032,-7504,2.6
Get ready,28.2975,524.4444444444445,17984,-5540,-6548,2.6
Get ready,29.5475,520.6349206349206,-788,-5704,-7644,2.6
Get ready,30.5475,515.5555555555557,9604,-9688,2064,2.6
Get ready,30.985,525.7142857142857,12596,-7028,13224,2.6
Get ready,31.5475,519.3650793650794,11052,5160,3604,2.6
Get ready,31.985,540.9523809523811,972,14048,10036,2.6
Get ready,32.11,513.6507936507936,-4020,13028,5760,2.6
Get ready,32.61,557.4603174603175,-3580,16748,3152,2.6
Get ready,32.9225,523.8095238095239,-2920,16224,2816,2.6
Get ready,33.1725,536.5079365079365,-1620,15244,6676,2.6
Get ready,33.0475,624.1269841269841,-1040,16640,3864,2.6
Get ready,33.1725,569.5238095238096,-580,15304,7596,2.6
Get ready,33.36,545.3968253968254,-24,14068,9412,2.6
Get ready,33.36,601.2698412698414,-1892,13392,7424,2.6
Get ready,33.625,482.2954822954823,-960,14332,11584,2.5
unknown,33.4375,515.8730158730159,-600,16428,4536,2.5
unknown,33.6875,523.8095238095239,-500,12532,10972,2.5
unknown,33.625,487.7899877899878,-820,13404,9952,2.5
unknown,33.8125,484.73748473748475,-832,13472,9984,2.5
unknown,33.8125,485.95848595848594,-844,13408,9944,2.5
unknown,34.0,486.5689865689866,-868,13468,9932,2.5
unknown,34.0,489.010989010989,-848,13444,9892,2.5
unknown,34.3125,490.2319902319902,-824,13420,9900,2.5
unknown,34.0625,493.2844932844933,-696,13380,9976,2.5
unknown,34.25,488.4004884004884,-776,13536,9944,2.5
unknown,34.125,717.3382173382173,-640,12976,10416,2.5
unknown,34.3125,536.6300366300367,-720,13796,10176,2.5
unknown,34.5,520.1465201465202,-688,13536,9864,2.5
unknown,34.375,493.8949938949939,-856,13604,9808,2.5
Sleep head up,34.25,493.8949938949939,-984,13620,9716,2.5
Sleep head up,34.375,495.7264957264957,-976,13540,9804,2.5
Sleep head up,34.3125,496.3369963369963,-944,13556,9824,2.5
Sleep head up,34.3125,693.5286935286936,-604,13072,9264,2.5
Sleep head up,34.4375,499.3894993894994,-900,13564,9896,2.5
Sleep head up,34.5625,493.2844932844933,-876,13544,9800,2.5
Sleep head up,34.5625,493.8949938949939,-1164,13428,9592,2.5
Sleep head up,34.4375,505.4945054945055,-232,13544,9992,2.5
Sleep head up,34.75,508.54700854700855,-772,13468,9448,2.5
Sleep head up,34.375,500.0,-1064,13504,9776,2.5
Sleep head up,34.4375,499.3894993894994,-804,13548,9932,2.5
Sleep head up,34.5625,498.16849816849816,-908,13524,9864,2.5
Sleep head up,34.625,501.22100122100125,-888,13532,9856,2.5
Sleep head up,34.75,503.052503052503,-952,13532,9844,2.5
Sleep head up,34.625,505.4945054945055,-964,13540,9820,2.5
Sleep head up,34.6875,504.2735042735043,-948,13504,9800,2.5
unknown,34.5,503.052503052503,-940,13528,9852,2.5
unknown,34.4375,561.050061050061,-1552,14064,10780,2.5
unknown,34.6875,551.2820512820513,-1064,13856,9520,2.5
unknown,34.75,562.2710622710623,-1064,13612,9900,2.5
unknown,34.6875,545.1770451770452,-748,13260,9444,2.5
unknown,34.4375,537.2405372405373,-1192,12896,11084,2.5
unknown,34.6875,532.3565323565324,-2060,13448,10920,2.5
unknown,34.8125,531.7460317460317,-740,12900,10476,2.5
unknown,34.4375,581.1965811965812,4716,11248,-1196,2.5
unknown,34.5625,528.6935286935287,5588,6548,-6252,2.5
unknown,34.75,511.5995115995116,-552,7820,-10652,2.5
unknown,34.6875,529.9145299145299,-1540,9868,-12464,2.5
unknown,34.6875,506.1050061050061,-2156,10088,-12528,2.5
unknown,34.8125,508.54700854700855,-2188,9932,-13172,2.5
Sleep head left,34.875,509.15750915750914,-2452,9224,-13584,2.5
Sleep head left,34.8125,523.8095238095239,-1384,10564,-13392,2.5
Sleep head left,34.8125,542.1245421245421,120,9044,-14132,2.5
Sleep head left,34.75,518.9255189255189,-2292,10436,-11580,2.5
Sleep head left,34.7025,500.5128205128205,-2204,9268,-13896,2.4
Sleep head left,34.9525,495.23809523809524,-2008,9160,-13564,2.4
Sleep head left,34.765,494.65201465201466,-2196,8816,-13920,2.4
Sleep head left,34.7025,498.7545787545787,-2444,9176,-13544,2.4
Sleep head left,35.0775,501.0989010989011,-2572,9024,-14240,2.4
Sleep head left,34.8275,501.68498168498166,-2516,9056,-13740,2.4
Sleep head left,34.89,501.0989010989011,-2388,9332,-13520,2.4
Sleep head left,34.9525,513.9926739926739,-964,7220,-14188,2.4
Sleep head left,34.9525,506.3736263736264,-296,9752,-11996,2.4
Sleep head left,34.89,509.8901098901099,-2572,9320,-13908,2.4
Sleep head left,34.89,513.4065934065934,-2612,9776,-13304,2.4
Sleep head left,35.015,501.68498168498166,-2348,9384,-13616,2.4
unknown,34.64,505.20146520146517,-2268,9484,-13484,2.4
unknown,34.8275,504.61538461538464,-2464,9220,-13500,2.4
unknown,34.9525,513.9926739926739,-2308,9308,-13368,2.4
unknown,34.89,519.2673992673992,-2392,8980,-13716,2.4
unknown,35.0775,498.16849816849816,-2500,8908,-13816,2.4
unknown,34.8275,499.34065934065933,-2520,8784,-13824,2.4
unknown,34.8275,501.0989010989011,-2512,8804,-13756,2.4
unknown,35.3275,504.61538461538464,-2472,8904,-13836,2.4
unknown,34.9525,504.61538461538464,-2284,9600,-14568,2.4
unknown,34.8275,504.02930402930406,-3620,17036,7572,2.4
unknown,35.0775,516.9230769230768,284,11684,14944,2.4
unknown,35.0775,511.6483516483516,-416,11856,12776,2.4
unknown,34.7025,516.3369963369963,-1460,11080,12508,2.4
unknown,34.89,518.0952380952381,-1836,11168,12396,2.4
Sleep head up,34.89,530.4029304029305,-900,11156,12436,2.4
Sleep head up,35.0775,533.3333333333334,-956,11104,12472,2.4
Sleep head up,35.14,533.3333333333334,-1056,11064,12432,2.4
Sleep head up,34.7025,514.5787545787546,-1000,11068,12468,2.4
Sleep head up,34.8275,515.1648351648352,-1024,11092,12456,2.4
Sleep head up,34.9525,519.2673992673992,-1156,11044,12420,2.4
Sleep head up,34.89,556.7765567765567,-700,11440,12984,2.4
Sleep head up,34.89,530.4029304029305,-2100,10572,11488,2.4
Sleep head up,34.765,554.4322344322344,-1336,11192,12376,2.4
Sleep head up,34.7025,547.985347985348,-1508,11304,12352,2.4
Sleep head up,34.8275,521.025641025641,-2676,11352,12668,2.4
Sleep head up,35.0775,538.021978021978,-1220,10604,13316,2.4
Sleep head up,34.765,538.6080586080586,-1536,11336,12440,2.4
Sleep head up,34.7025,541.5384615384615,-1348,11200,12392,2.4
Sleep head up,34.8275,543.8827838827839,-1664,11200,12308,2.4
Sleep head up,34.765,539.7802197802198,-1260,11164,12368,2.4
unknown,34.7025,545.054945054945,-1344,11184,12368,2.4
unknown,34.89,544.4688644688645,-1268,11156,12376,2.4
unknown,34.765,547.985347985348,-1280,11252,12348,2.4
unknown,34.9525,576.7032967032967,-6176,6336,6544,2.4
unknown,34.765,553.2600732600732,-1588,11208,12236,2.4
