label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,25.3725,2100.0,5600,3656,-8700,2.1
Get ready,25.3425,2111.843711843712,10240,2940,-2748,2.3
Get ready,24.735,2157.460317460318,18276,3868,4096,2.6
Get ready,28.595,676.4835164835166,14532,2284,-3324,2.7
Get ready,29.6725,602.5396825396825,15156,2944,2452,2.6
Get ready,30.735,620.3174603174605,16920,3600,740,2.6
Get ready,31.36,650.7936507936508,15868,3364,1536,2.6
Get ready,31.61,636.8253968253969,15416,3400,2020,2.6
Get ready,31.985,617.1428571428572,15024,4948,-4752,2.6
Get ready,32.11,602.5396825396825,16212,1044,-5952,2.6
Get ready,32.485,594.2857142857143,14864,1852,184,2.6
Get ready,32.36,632.3809523809524,16252,1448,-1284,2.6
Get ready,32.735,631.7460317460317,15884,2736,1788,2.6
Get ready,32.985,632.3809523809524,15976,3540,-1892,2.6
Get ready,32.735,584.1269841269841,14852,1220,-4108,2.6
Get ready,33.11,582.8571428571429,17808,3712,4104,2.6
Get ready,33.235,591.1111111111111,15760,2912,1520,2.6
Get ready,33.235,593.015873015873,15720,3492,900,2.6
Get ready,33.235,615.8730158730159,15972,2920,944,2.6
Get ready,33.4225,652.6984126984127,15764,3284,1268,2.6
Get ready,33.36,648.888888888889,16004,3088,1220,2.6
Get ready,33.5475,648.888888888889,15924,3148,1264,2.6
Get ready,33.5475,653.3333333333334,15936,3148,1060,2.6
Get ready,33.6725,640.0,16104,3104,884,2.6
Get ready,33.6725,641.9047619047619,15856,2940,1160,2.6
unknown,33.5475,647.6190476190476,15936,3008,1224,2.6
unknown,33.7975,638.0952380952381,15860,2872,1112,2.6
unknown,33.9225,632.3809523809524,15844,3052,1052,2.6
unknown,33.9225,624.1269841269841,15980,2924,1032,2.6
unknown,33.9225,636.1904761904763,15892,3028,1012,2.6
Mouth closed,33.9225,634.9206349206349,15924,2888,1028,2.6
Mouth closed,34.0475,638.0952380952381,15932,3060,908,2.6
Mouth closed,33.9225,636.1904761904763,15872,2900,808,2.6
Mouth closed,33.9225,638.0952380952381,15920,3136,688,2.6
Mouth closed,34.0475,629.84126984127,15904,2992,636,2.6
Mouth closed,34.0475,628.5714285714286,15936,2940,540,2.6
Mouth closed,34.11,623.4920634920636,15920,2956,636,2.6
Mouth closed,34.0475,619.6825396825396,15956,3056,584,2.6
Mouth closed,34.36,617.1428571428572,15948,3012,584,2.6
Mouth closed,34.2975,617.1428571428572,15908,2976,632,2.6
unknown,34.2975,593.015873015873,15872,2920,596,2.6
unknown,34.2975,589.8412698412699,15892,2872,536,2.6
unknown,34.485,593.015873015873,15896,2968,512,2.6
unknown,34.2975,598.0952380952382,15984,3044,656,2.6
unknown,33.7525,2263.3455433455433,15848,2656,-2120,2.9
Mouth open,34.19,2263.3455433455433,15896,2680,-1628,2.9
Mouth open,34.19,2243.5164835164833,15968,2832,-1304,2.9
Mouth open,34.065,2242.808302808303,16040,2788,-1440,2.9
Mouth open,34.2525,2227.228327228327,16180,2536,-1136,2.9
Mouth open,34.19,2218.730158730158,15836,2700,-1056,2.9
Mouth open,34.5175,2124.444444444444,15968,2820,-744,2.8
Mouth open,34.33,2129.2307692307686,16004,2624,-628,2.8
Mouth open,34.5175,2133.3333333333335,15852,2848,-684,2.8
Mouth open,34.2675,2116.923076923077,15984,2760,-468,2.8
Mouth open,34.1425,2125.8119658119654,15920,2760,-512,2.8
unknown,34.4075,2034.065934065934,15964,2836,-484,2.7
unknown,34.4075,2033.4065934065936,15872,2800,-476,2.7
unknown,34.4075,2033.4065934065936,15928,2856,-448,2.7
unknown,34.5325,2038.6813186813192,15928,2872,-344,2.7
unknown,34.75,626.984126984127,15960,2924,1004,2.5
Mouth closed,34.75,635.5311355311355,15940,2964,952,2.5
Mouth closed,34.625,623.3211233211233,16000,2872,964,2.5
Mouth closed,34.625,595.8485958485959,15948,2988,972,2.5
Mouth closed,34.9375,608.0586080586081,15896,2916,916,2.5
Mouth closed,34.8125,607.4481074481074,15964,2860,984,2.5
Mouth closed,34.6875,614.7741147741148,15972,2820,1024,2.5
Mouth closed,34.9375,611.1111111111111,15884,2880,848,2.5
Mouth closed,34.75,603.7851037851037,15924,2844,904,2.5
Mouth closed,34.6875,600.7326007326008,15964,2840,928,2.5
Mouth closed,34.8125,602.5641025641025,15980,2760,772,2.5
unknown,34.9375,613.5531135531136,15940,2696,724,2.5
unknown,35.0,606.2271062271062,15980,2908,748,2.5
unknown,35.125,607.4481074481074,15940,2824,776,2.5
unknown,35.0625,622.1001221001221,15912,2792,644,2.5
unknown,34.5175,2261.880341880342,15784,2624,-2308,2.8
Mouth open,34.705,2258.4615384615386,15940,2740,-1592,2.8
Mouth open,34.705,2253.675213675214,15940,2608,-1324,2.8
Mouth open,34.5175,2244.1025641025635,15860,2680,-1136,2.8
Mouth open,34.58,2227.0085470085464,16020,2616,-1092,2.8
Mouth open,34.705,2210.5982905982905,15904,2612,-828,2.8
Mouth open,34.455,2186.6666666666665,15992,2808,-448,2.8
Mouth open,34.58,2175.726495726495,15956,2812,-132,2.8
Mouth open,34.845,2081.538461538462,15928,2956,-80,2.7
Mouth open,34.5325,2090.769230769231,15984,2784,20,2.7
Mouth open,34.6575,2088.1318681318685,15940,2904,44,2.7
unknown,34.6575,2084.1758241758243,15900,2912,-4,2.7
unknown,34.735,1987.3015873015872,15944,2808,8,2.6
unknown,34.6575,2082.857142857143,15996,3016,136,2.7
unknown,34.9225,1992.3809523809523,15952,2828,4,2.6
unknown,35.015,613.6263736263735,15908,2724,1184,2.4
Mouth closed,35.265,635.3113553113553,15920,2912,1132,2.4
Mouth closed,35.3275,632.3809523809524,15968,2944,1120,2.4
Mouth closed,35.14,632.967032967033,15960,2948,1120,2.4
Mouth closed,35.14,627.6923076923077,15904,2988,1116,2.4
Mouth closed,35.265,577.8754578754579,15936,2828,1116,2.4
Mouth closed,35.14,593.6996336996338,15932,2960,1108,2.4
Mouth closed,35.14,602.4908424908425,15924,2868,1200,2.4
Mouth closed,35.14,602.4908424908425,16040,3016,1380,2.4
Mouth closed,35.3275,596.043956043956,15940,2868,1372,2.4
Mouth closed,35.3275,588.4249084249084,15936,2900,1332,2.4
unknown,35.3275,593.6996336996338,16204,2736,1324,2.4
unknown,35.0775,603.0769230769231,15948,2728,1456,2.4
unknown,35.265,604.8351648351647,16048,2900,1192,2.4
unknown,35.3275,603.6630036630037,15864,2784,1176,2.4
unknown,34.6575,2163.296703296703,16772,2776,-1368,2.7
Mouth open,34.845,2154.7252747252746,15876,2488,-1596,2.7
Mouth open,34.845,2156.703296703297,15964,2576,-1220,2.7
Mouth open,34.97,2154.7252747252746,16196,2628,-776,2.7
Mouth open,35.0325,2161.3186813186812,15972,2648,-760,2.7
