label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,25.36,1026.6666666666667,6296,13752,7796,2.6
Get ready,25.4225,811.4285714285714,29116,776,-8380,2.6
Get ready,25.1725,923.8095238095239,16216,1312,1472,2.6
Get ready,25.235,919.3650793650794,16216,1260,1452,2.6
Get ready,25.1725,901.5873015873016,16232,1264,1480,2.6
Get ready,25.25,830.2808302808303,15460,-420,200,2.5
Get ready,25.3125,839.4383394383394,932,18696,-1572,2.5
Get ready,25.3125,648.962148962149,-6840,18072,3012,2.5
Get ready,25.3125,522.5885225885226,-2940,14392,9636,2.5
Get ready,25.125,525.030525030525,-2888,13672,9976,2.5
Get ready,25.375,526.2515262515262,-2740,13228,9760,2.5
Get ready,25.375,529.9145299145299,-3292,12956,9096,2.5
Get ready,25.5,526.2515262515262,-3072,13284,9516,2.5
Get ready,25.5625,525.6410256410256,-3076,13316,9324,2.5
Get ready,25.375,528.0830280830281,-2980,13412,9620,2.5
Get ready,25.5625,530.5250305250305,-2984,13288,9488,2.5
Get ready,25.6875,530.5250305250305,-2900,13248,9484,2.5
Get ready,25.5625,530.5250305250305,-2968,13304,9560,2.5
Get ready,25.4375,528.6935286935287,-3028,13448,9536,2.5
Get ready,25.625,532.967032967033,-2956,13356,9576,2.5
Get ready,25.625,531.7460317460317,-2416,14168,9664,2.5
Get ready,25.5625,661.1721611721612,-3660,14160,3232,2.5
Get ready,25.8125,788.7667887667887,-1096,15504,11388,2.5
Get ready,25.5625,836.3858363858363,-2560,8232,10428,2.5
Get ready,25.625,841.8803418803419,-6456,7064,12800,2.5
unknown,25.75,829.6703296703297,-7388,7756,12868,2.5
unknown,25.8125,816.8498168498169,-6796,7684,13208,2.5
unknown,25.75,824.1758241758242,-7224,7452,13200,2.5
unknown,25.8125,827.2283272283272,-7928,6864,13104,2.5
unknown,25.8125,766.7887667887668,-7332,7908,12532,2.5
Walk around with densor in hand,25.8125,705.1282051282051,-3468,3528,10596,2.5
Walk around with densor in hand,25.6875,985.3479853479854,-14320,-196,20396,2.5
Walk around with densor in hand,25.6875,645.2991452991453,-16408,-88,9024,2.5
Walk around with densor in hand,25.75,583.6385836385837,-11224,-668,14860,2.5
Walk around with densor in hand,25.6875,961.5384615384615,-12728,-9160,10960,2.5
Walk around with densor in hand,25.5625,759.4627594627594,-8680,-14540,17164,2.5
