label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,20.735,742.2222222222222,-3708,11996,11064,2.6
Get ready,25.98,0.0,0,0,0,1.8
Get ready,20.9225,741.5873015873016,-4016,12332,11148,2.6
Get ready,20.86,772.6984126984128,-1808,12996,10832,2.6
Get ready,20.7975,1499.6825396825398,-1372,10488,12868,2.6
Get ready,20.86,841.9047619047619,-6460,20332,2636,2.6
Get ready,20.985,732.6984126984127,5284,12372,-8580,2.6
Get ready,21.1725,740.9523809523811,7120,8500,-13016,2.6
Get ready,21.1725,660.952380952381,15292,1616,-7748,2.6
Get ready,21.5475,1239.3650793650793,15356,1680,-4776,2.6
Get ready,21.9225,1077.4603174603174,15944,2060,-4212,2.6
Get ready,22.11,985.3968253968255,15140,2328,-4072,2.6
Get ready,22.4225,1142.857142857143,15392,2236,-4696,2.6
Get ready,22.9225,935.8730158730159,15308,2224,-5004,2.6
Get ready,23.36,732.6984126984127,15652,1388,3644,2.6
Get ready,23.9225,695.2380952380952,15800,868,3564,2.6
Get ready,24.11,655.2380952380953,16040,1228,2576,2.6
Get ready,23.7975,658.4126984126985,16572,1528,2104,2.6
Get ready,24.6725,716.8253968253969,13360,2184,6064,2.6
Get ready,25.7975,714.9206349206349,14844,-1844,5456,2.6
Get ready,24.7975,705.3968253968254,16072,-160,4864,2.6
Get ready,25.6725,706.0317460317461,15736,116,4044,2.6
Get ready,26.11,709.2063492063493,15828,216,3736,2.6
Get ready,25.735,706.6666666666666,16444,528,3888,2.6
Get ready,25.985,713.015873015873,15912,720,3224,2.6
unknown,27.4225,535.8730158730159,16016,844,2920,2.6
unknown,28.4225,643.1746031746031,15936,884,2952,2.6
unknown,28.735,681.9047619047619,15912,932,2972,2.6
unknown,29.2975,551.1111111111111,16004,928,2836,2.6
unknown,29.6725,644.4444444444445,16004,1108,2740,2.6
Get ready to drink,29.235,546.031746031746,15984,1080,2816,2.6
Get ready to drink,30.61,518.7301587301588,16004,1128,2664,2.6
Get ready to drink,30.875,500.6105006105006,16048,1152,2596,2.5
Get ready to drink,30.25,652.6251526251526,16036,5088,480,2.5
Get ready to drink,30.25,561.6605616605617,14508,6880,1144,2.5
Get ready to drink,30.375,668.4981684981685,14676,6880,1144,2.5
Get ready to drink,29.9375,681.3186813186813,16112,2612,12,2.5
Get ready to drink,29.25,671.5506715506715,16072,2464,8,2.5
Get ready to drink,29.875,658.7301587301587,16092,2368,-52,2.5
Get ready to drink,29.9375,663.003663003663,16056,2436,-20,2.5
unknown,29.25,549.4505494505495,16032,2520,84,2.5
unknown,30.625,505.4945054945055,16000,2772,260,2.5
unknown,30.625,574.4810744810745,15900,2856,-92,2.5
unknown,31.4375,534.1880341880342,15908,2936,-236,2.5
unknown,31.75,520.7570207570208,16108,2796,-772,2.5
unknown,31.5,521.3675213675214,16016,2444,8,2.5
unknown,30.4375,504.88400488400487,15908,2272,1156,2.5
unknown,25.625,505.4945054945055,16312,1904,484,2.5
unknown,25.875,514.6520146520146,16104,2120,804,2.5
unknown,27.375,511.5995115995116,15896,2060,964,2.5
Rest with mouth closed,28.25,512.2100122100122,15920,2696,980,2.5
Rest with mouth closed,28.75,509.7680097680098,15772,2976,828,2.5
Rest with mouth closed,29.375,511.5995115995116,16044,2808,676,2.5
Rest with mouth closed,29.6875,510.3785103785104,15732,504,2900,2.5
Rest with mouth closed,29.875,515.2625152625153,15968,2128,3644,2.5
unknown,30.25,518.3150183150183,15676,2776,3748,2.5
unknown,30.3125,517.7045177045177,15812,2728,3016,2.5
unknown,30.875,518.9255189255189,15848,2256,2316,2.5
unknown,31.125,518.3150183150183,16012,2224,2184,2.5
unknown,31.3125,514.041514041514,15968,2116,1980,2.5
Wear with mouth closed,31.4375,517.7045177045177,15956,2144,1928,2.5
Wear with mouth closed,31.4375,517.7045177045177,16048,2064,1804,2.5
Wear with mouth closed,31.6875,518.9255189255189,16148,1996,1792,2.5
Wear with mouth closed,31.8125,522.5885225885226,16068,2064,1696,2.5
Wear with mouth closed,31.75,519.5360195360196,16008,2052,1552,2.5
Wear with mouth closed,31.8125,519.5360195360196,16064,1984,1660,2.5
Wear with mouth closed,32.0,521.3675213675214,16060,1988,1548,2.5
Wear with mouth closed,32.375,524.4200244200244,15996,1964,1552,2.5
Wear with mouth closed,32.0625,527.4725274725274,16024,2016,1624,2.5
Wear with mouth closed,32.25,527.4725274725274,16120,1928,1540,2.5
Wear with mouth closed,32.4375,520.1465201465202,16020,1836,1512,2.5
Wear with mouth closed,32.6875,523.8095238095239,15964,2164,1540,2.5
Wear with mouth closed,32.5625,524.4200244200244,16216,2204,1792,2.5
Wear with mouth closed,32.6875,525.6410256410256,16044,1460,1948,2.5
Wear with mouth closed,32.8125,522.5885225885226,15988,1324,1776,2.5
Wear with mouth closed,32.9375,523.1990231990231,16080,1492,1744,2.5
Wear with mouth closed,32.9375,525.6410256410256,16100,1532,1816,2.5
Wear with mouth closed,33.0,528.0830280830281,16152,1412,1732,2.5
Wear with mouth closed,33.125,528.0830280830281,16088,1412,1644,2.5
Wear with mouth closed,33.39,508.7179487179487,16124,1376,1664,2.4
Wear with mouth closed,33.4525,504.61538461538464,16136,1416,1736,2.4
Wear with mouth closed,33.515,506.959706959707,16116,1364,1652,2.4
Wear with mouth closed,33.2025,509.3040293040293,16064,1324,1592,2.4
Wear with mouth closed,33.5775,513.4065934065934,16112,1400,1672,2.4
Wear with mouth closed,33.7025,509.3040293040293,16148,1380,1540,2.4
unknown,33.64,511.6483516483516,16056,1348,1496,2.4
unknown,33.64,512.8205128205128,16176,1272,1488,2.4
unknown,33.765,515.1648351648352,16152,1380,1616,2.4
unknown,33.7025,517.5091575091575,16108,1296,1600,2.4
unknown,33.8275,778.3150183150183,16636,1264,1832,2.4
Wear with mouth open,32.89,1472.820512820513,14572,4868,3728,2.4
Wear with mouth open,32.7025,1469.89010989011,15660,1492,3872,2.4
Wear with mouth open,32.39,1489.2307692307693,15604,1096,4448,2.4
Wear with mouth open,32.14,1482.7838827838827,15648,1360,4248,2.4
Wear with mouth open,31.7025,1478.6813186813188,15692,1128,4320,2.4
Wear with mouth open,31.7025,1483.3699633699634,15696,944,4672,2.4
Wear with mouth open,31.515,1483.3699633699634,15668,924,4272,2.4
Wear with mouth open,31.64,1482.197802197802,15708,964,4120,2.4
Wear with mouth open,31.39,1483.956043956044,15648,876,4008,2.4
Wear with mouth open,31.39,1486.3003663003662,15700,908,3756,2.4
Wear with mouth open,31.0775,1489.8168498168498,15776,960,3796,2.4
Wear with mouth open,31.2025,1488.6446886446886,15840,1016,3556,2.4
Wear with mouth open,30.8275,1466.9597069597069,15856,1004,3576,2.4
Wear with mouth open,30.89,1468.131868131868,15844,1080,3356,2.4
Wear with mouth open,30.7025,1474.5787545787546,16024,1196,3444,2.4
Wear with mouth open,30.8275,1473.4065934065932,16004,1264,2856,2.4
Wear with mouth open,30.7025,1474.5787545787546,16032,1260,2928,2.4
Wear with mouth open,30.5775,1475.1648351648353,15956,1056,3060,2.4
Wear with mouth open,30.4525,1480.4395604395604,15956,984,2828,2.4
Wear with mouth open,30.5775,1481.6117216117216,15984,952,2720,2.4
Wear with mouth open,30.515,1479.267399267399,16000,1044,2980,2.4
Wear with mouth open,30.64,1480.4395604395604,16040,1004,2936,2.4
Wear with mouth open,30.64,1487.4725274725274,16028,984,2944,2.4
Wear with mouth open,31.015,1487.4725274725274,16024,968,2932,2.4
Wear with mouth open,30.7025,1485.1282051282049,16052,1052,2944,2.4
unknown,31.015,1488.058608058608,16052,940,2768,2.4
unknown,30.9675,1426.0561660561661,16244,1252,2168,2.3
unknown,30.9675,1431.111111111111,16076,1136,2868,2.3
unknown,30.8425,1424.3711843711842,16004,1100,2788,2.3
unknown,31.03,1426.6178266178267,16096,1012,2692,2.3
Speaking,30.9675,773.9682539682539,15852,1352,3060,2.3
Speaking,31.8425,1233.4065934065932,15840,4044,2540,2.3
Speaking,32.78,1383.3699633699634,14884,2888,3624,2.3
Speaking,33.0925,651.5262515262515,15812,996,2380,2.3
Speaking,33.405,511.1111111111111,15888,3492,-1568,2.3
Speaking,33.155,1126.6910866910864,14392,7072,2172,2.3
Speaking,33.5925,1162.6373626373627,15460,2548,4888,2.3
Speaking,33.53,992.4542124542124,16020,1464,2276,2.3
Speaking,33.8425,1198.021978021978,15616,3300,1444,2.3
Speaking,33.655,1100.854700854701,15876,3604,2796,2.3
Speaking,33.78,731.2820512820513,17048,1440,1168,2.3
Speaking,33.8425,1353.0402930402931,16184,952,1864,2.3
Speaking,34.03,1260.3663003663003,17360,2668,3020,2.3
Speaking,34.155,1344.053724053724,17344,2340,2176,2.3
Speaking,34.4675,1231.7216117216117,15956,-344,2424,2.3
Speaking,33.4675,1153.0891330891332,18068,1520,656,2.3
Speaking,33.9675,1121.6361416361415,16544,-52,2048,2.3
Speaking,34.0925,1232.2832722832723,15504,-3616,1740,2.3
Speaking,34.03,1323.272283272283,16748,-3264,2208,2.3
Speaking,33.78,1069.4017094017095,17248,-2068,1456,2.3
Speaking,34.155,1360.903540903541,16492,-2920,132,2.3
Speaking,33.9675,1345.177045177045,15936,-3824,1432,2.3
