label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,23.2975,1093.968253968254,13988,10972,-3176,2.6
Get ready,23.36,1118.095238095238,11512,-5436,-16788,2.6
Get ready,23.485,1101.5873015873017,10732,-16,-17016,2.6
Get ready,23.61,819.047619047619,15012,3824,-2028,2.6
Get ready,28.4225,567.6190476190476,15584,2840,-380,2.6
Get ready,29.36,560.0000000000001,12444,3592,5900,2.6
Get ready,30.1725,560.0000000000001,18580,3512,-1216,2.6
Get ready,30.7975,567.6190476190476,15184,3148,820,2.6
Get ready,30.9225,561.9047619047619,15616,4184,208,2.6
Get ready,31.235,566.984126984127,15692,2952,228,2.6
Get ready,31.61,537.7777777777779,16000,3256,516,2.6
Get ready,31.86,546.031746031746,15796,3248,268,2.6
Get ready,31.9225,542.8571428571429,15768,3084,-104,2.6
Get ready,32.2975,548.5714285714286,15912,2924,-284,2.6
Get ready,32.36,547.3015873015875,15996,3000,-76,2.6
Get ready,32.485,544.1269841269842,15892,3080,-304,2.6
Get ready,32.485,543.4920634920635,15868,2992,-340,2.6
Get ready,32.8125,524.4200244200244,15792,3096,-504,2.5
Get ready,32.875,528.0830280830281,15852,3108,-604,2.5
Get ready,32.9375,548.2295482295482,15312,3632,1896,2.5
Get ready,33.0,534.1880341880342,15788,4340,452,2.5
Get ready,33.125,529.9145299145299,15912,2984,424,2.5
Get ready,33.1875,528.6935286935287,15860,3160,132,2.5
Get ready,33.1875,531.1355311355311,15920,3132,24,2.5
Get ready,33.125,532.3565323565324,15860,3152,24,2.5
unknown,33.375,532.3565323565324,15872,3072,-88,2.5
unknown,33.3125,532.3565323565324,15856,3132,56,2.5
unknown,33.4375,533.5775335775336,15880,3052,-72,2.5
unknown,33.5625,535.4090354090354,15900,3092,-68,2.5
unknown,33.4375,540.2930402930403,15812,3140,-148,2.5
Grinding,33.625,532.3565323565324,15852,3148,-128,2.5
Grinding,33.625,533.5775335775336,15880,3012,-244,2.5
Grinding,33.3125,536.0195360195361,15844,3208,-180,2.5
Grinding,33.75,534.1880341880342,15808,3052,-164,2.5
Grinding,33.5625,536.0195360195361,15764,3344,-216,2.5
Grinding,33.625,536.0195360195361,15752,3120,-144,2.5
Grinding,33.75,538.4615384615385,15868,3156,-152,2.5
Grinding,33.8125,541.5140415140415,15784,3124,-104,2.5
Grinding,33.8125,543.3455433455433,15852,3228,-44,2.5
Grinding,33.9375,539.072039072039,15828,3064,-76,2.5
unknown,33.875,540.9035409035409,15744,2940,-188,2.5
unknown,34.125,538.4615384615385,16012,3272,-152,2.5
unknown,34.1875,544.5665445665446,15904,2928,-252,2.5
unknown,34.0,544.5665445665446,15988,3076,-228,2.5
unknown,34.25,540.9035409035409,15972,2884,-208,2.5
Not grinding,34.0625,544.5665445665446,15844,3048,-128,2.5
Not grinding,34.4375,545.7875457875458,15812,3040,-68,2.5
Not grinding,34.0625,550.0610500610501,15812,3120,24,2.5
Not grinding,34.375,542.7350427350427,15864,3024,-128,2.5
Not grinding,34.25,547.008547008547,15816,2972,-112,2.5
Not grinding,34.25,550.6715506715507,15932,3096,-88,2.5
Not grinding,34.4375,555.5555555555555,15892,3068,-92,2.5
Not grinding,34.5,550.6715506715507,15812,3016,-104,2.5
Not grinding,34.3125,551.8925518925519,15928,3032,-92,2.5
Not grinding,34.375,552.5030525030525,15828,2960,-148,2.5
unknown,34.4375,555.5555555555555,15796,3008,-36,2.5
unknown,34.25,561.6605616605617,15800,3056,-48,2.5
unknown,34.5625,556.7765567765567,15916,3060,-72,2.5
unknown,34.4375,559.8290598290598,15900,3024,4,2.5
unknown,34.5,561.050061050061,15852,3048,-76,2.5
Grinding,34.7025,542.1245421245421,15904,3124,-72,2.4
Grinding,34.5775,539.1941391941392,15824,3068,-32,2.4
Grinding,34.8275,541.5384615384615,15972,2948,148,2.4
Grinding,34.8275,542.1245421245421,15868,2940,-44,2.4
Grinding,34.64,542.7106227106227,15780,3152,-88,2.4
Grinding,34.765,539.1941391941392,15844,3024,40,2.4
Grinding,34.5775,540.3663003663003,15848,2868,-8,2.4
Grinding,34.4525,542.7106227106227,15872,2988,-124,2.4
Grinding,34.7025,546.8131868131868,15748,3004,124,2.4
Grinding,34.8275,543.2967032967032,15824,2908,-12,2.4
unknown,34.89,546.2271062271061,15820,3000,-8,2.4
unknown,34.89,541.5384615384615,15828,3004,44,2.4
unknown,34.89,546.8131868131868,15884,2972,68,2.4
unknown,35.14,547.985347985348,15892,2892,-60,2.4
unknown,34.8275,543.2967032967032,15916,2912,-8,2.4
Not grinding,34.8275,545.6410256410256,15888,2944,32,2.4
Not grinding,34.89,548.5714285714286,15880,2964,104,2.4
Not grinding,34.765,552.087912087912,15828,2992,72,2.4
Not grinding,34.89,550.3296703296703,15892,3000,116,2.4
Not grinding,34.9525,553.8461538461538,15716,3300,284,2.4
Not grinding,35.015,555.0183150183149,15996,2940,256,2.4
Not grinding,35.0775,557.9487179487178,15724,2888,-24,2.4
Not grinding,34.8275,539.7802197802198,15984,2988,76,2.4
Not grinding,35.14,537.4358974358973,15900,2976,144,2.4
Not grinding,34.89,542.1245421245421,15936,3012,92,2.4
unknown,34.9525,543.8827838827839,15848,2972,60,2.4
unknown,35.0775,540.952380952381,15836,2992,80,2.4
unknown,34.9525,538.6080586080586,15880,3020,16,2.4
unknown,35.0775,541.5384615384615,15872,3040,-4,2.4
unknown,35.0775,549.157509157509,15840,3060,92,2.4
Grinding,35.14,545.054945054945,15852,2976,72,2.4
Grinding,34.9525,548.5714285714286,15808,2956,84,2.4
Grinding,35.0775,546.8131868131868,15868,2944,16,2.4
Grinding,34.9525,549.7435897435897,15920,2948,196,2.4
Grinding,35.3275,552.087912087912,15852,3072,84,2.4
Grinding,34.9525,547.3992673992674,15940,2872,76,2.4
Grinding,35.3275,553.8461538461538,15964,3012,132,2.4
Grinding,35.0775,555.6043956043956,15944,2760,140,2.4
Grinding,35.14,556.1904761904761,15832,3068,272,2.4
Grinding,35.2025,548.5714285714286,15876,2948,220,2.4
unknown,35.2025,550.9157509157509,15960,2904,76,2.4
unknown,34.9525,552.6739926739926,15808,3016,180,2.4
unknown,35.2025,550.9157509157509,15908,2892,128,2.4
unknown,35.39,556.7765567765567,15860,2984,92,2.4
unknown,35.3425,533.5775335775336,15752,2952,248,2.3
Not grinding,35.3425,531.8925518925519,15848,2984,236,2.3
Not grinding,35.28,532.4542124542123,15804,3052,212,2.3
Not grinding,35.2175,533.015873015873,15812,3036,228,2.3
Not grinding,35.405,536.9474969474968,15928,3048,332,2.3
Not grinding,35.28,539.7557997557997,15792,3000,300,2.3
Not grinding,35.4675,542.5641025641024,15848,3060,236,2.3
Not grinding,35.405,540.3174603174604,15864,3036,264,2.3
Not grinding,35.28,543.6874236874236,15900,3072,256,2.3
Not grinding,35.3425,543.6874236874236,15828,3212,276,2.3
Not grinding,35.4675,548.180708180708,15900,3092,220,2.3
unknown,35.53,540.3174603174604,15756,3136,256,2.3
unknown,35.405,546.4957264957263,15856,3084,264,2.3
unknown,35.4675,546.4957264957263,15956,3112,172,2.3
unknown,35.53,548.180708180708,15824,2968,180,2.3
unknown,35.3425,545.934065934066,15824,3088,224,2.3
Grinding,35.655,548.180708180708,15820,3016,224,2.3
Grinding,35.405,549.3040293040292,15940,3104,352,2.3
Grinding,35.4675,549.3040293040292,15880,3064,312,2.3
Grinding,35.5925,552.6739926739926,15848,3056,276,2.3
Grinding,35.405,550.4273504273505,15808,3140,312,2.3
Grinding,35.5925,549.8656898656899,15772,3032,252,2.3
Grinding,35.405,559.4139194139193,15828,3040,352,2.3
Grinding,35.655,552.112332112332,15844,3068,336,2.3
Grinding,35.5925,558.2905982905983,15800,3072,396,2.3
Grinding,35.5925,562.7838827838827,15792,3148,388,2.3
unknown,35.53,553.2356532356532,15724,3084,332,2.3
unknown,35.5925,559.97557997558,15844,3120,440,2.3
unknown,35.405,559.4139194139193,15864,3008,460,2.3
unknown,35.53,557.1672771672771,15812,2780,296,2.3
unknown,35.4675,560.5372405372405,15768,3128,564,2.3
Not grinding,35.4675,560.5372405372405,15880,2900,436,2.3
Not grinding,35.3425,560.5372405372405,15844,2892,488,2.3
Not grinding,35.655,567.2771672771672,15720,2980,396,2.3
Not grinding,35.53,563.9072039072039,15436,3020,232,2.3
Not grinding,35.53,567.2771672771672,15788,3088,488,2.3
Not grinding,35.4675,569.5238095238095,15800,3116,652,2.3
Not grinding,35.655,571.7704517704517,15800,3188,612,2.3
Not grinding,35.655,569.5238095238095,15784,3208,576,2.3
Not grinding,35.28,567.8388278388277,15796,3168,636,2.3
Not grinding,35.4675,577.3870573870573,15896,3268,664,2.3
unknown,35.4675,578.5103785103785,15792,3356,704,2.3
unknown,35.53,576.2637362637362,15744,3268,628,2.3
unknown,35.5925,555.4822954822955,15804,3252,612,2.3
unknown,35.7175,555.4822954822955,15820,3212,608,2.3
unknown,35.545,536.7032967032967,15788,3232,632,2.2
Grinding,35.7325,538.3150183150183,15840,3276,612,2.2
Grinding,35.67,537.2405372405373,15832,3240,600,2.2
Grinding,35.8575,536.7032967032967,15808,3268,692,2.2
Grinding,35.795,541.5384615384617,15700,3336,396,2.2
Grinding,35.8575,536.7032967032967,15824,3272,636,2.2
Grinding,35.7325,541.001221001221,15888,3256,796,2.2
Grinding,35.8575,541.001221001221,15748,3308,756,2.2
Grinding,35.7325,540.4639804639805,15828,3236,720,2.2
Grinding,35.67,545.2991452991453,15748,3348,812,2.2
Grinding,35.6075,546.9108669108671,15744,3336,744,2.2
unknown,35.92,548.5225885225886,15844,3268,856,2.2
unknown,35.67,546.9108669108671,15736,3420,880,2.2
unknown,35.7325,540.4639804639805,15920,3088,700,2.2
unknown,35.6075,544.7619047619048,16060,3376,1064,2.2
unknown,35.8575,546.9108669108671,15808,3340,744,2.2
Not grinding,35.7325,545.836385836386,15796,3276,824,2.2
Not grinding,35.7325,547.4481074481074,15860,3232,888,2.2
Not grinding,35.67,549.0598290598291,15796,3332,744,2.2
Not grinding,35.9825,551.2087912087914,15772,3344,836,2.2
Not grinding,35.7325,546.9108669108671,15812,3288,904,2.2
Not grinding,35.795,548.5225885225886,15744,3292,900,2.2
Not grinding,35.92,553.8949938949941,15744,3400,872,2.2
Not grinding,35.8575,551.2087912087914,15860,3384,832,2.2
Not grinding,35.4825,554.9694749694751,15768,3376,848,2.2
Not grinding,35.7325,553.8949938949941,15808,3396,828,2.2
unknown,35.7325,557.1184371184371,15876,3244,932,2.2
unknown,35.795,554.4322344322344,15796,3344,756,2.2
unknown,35.67,556.0439560439561,15820,3432,764,2.2
unknown,35.795,558.1929181929182,15836,3352,800,2.2
unknown,35.8575,559.8046398046398,15768,3340,904,2.2
