label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,23.485,884.4444444444445,13096,580,-5732,2.6
Get ready,23.5475,558.7301587301587,16404,2364,-2072,2.6
Get ready,26.235,528.2539682539684,15820,3636,-3100,2.6
Get ready,29.11,528.8888888888889,15592,3556,1428,2.6
Get ready,30.1725,518.0952380952381,15772,3908,-412,2.6
Get ready,30.5475,518.7301587301588,16016,3108,516,2.6
Get ready,31.0475,523.1746031746031,15684,3124,44,2.6
Get ready,31.2975,526.3492063492064,15988,3056,172,2.6
Get ready,31.4225,525.0793650793652,15860,3036,-88,2.6
Get ready,31.7975,526.3492063492064,15928,2924,-68,2.6
Get ready,32.11,530.1587301587301,15840,2992,-92,2.6
Get ready,32.2975,527.6190476190476,15484,2528,2652,2.6
Get ready,32.5475,534.6031746031747,15800,3680,2620,2.6
Get ready,32.36,530.1587301587301,16284,2268,2476,2.6
Get ready,32.61,534.6031746031747,15780,2552,2460,2.6
Get ready,32.61,533.3333333333334,15752,2640,2856,2.6
Get ready,32.86,538.4126984126984,15772,2920,2464,2.6
Get ready,32.86,538.4126984126984,15784,2780,3020,2.6
Get ready,33.1725,542.8571428571429,15764,2860,2640,2.6
Get ready,33.1725,540.9523809523811,15856,2524,2552,2.6
Get ready,33.2975,547.936507936508,15956,2584,2404,2.6
Get ready,33.36,521.2698412698413,15828,2820,2472,2.6
Get ready,33.235,518.0952380952381,15800,3148,2452,2.6
Get ready,33.2975,520.6349206349206,15576,3148,2568,2.6
Get ready,33.4225,526.3492063492064,15584,3416,2472,2.6
unknown,33.5475,525.7142857142857,15632,3016,2696,2.6
unknown,33.9375,511.5995115995116,15852,2948,2436,2.5
unknown,33.9375,513.4310134310134,15864,2912,2460,2.5
unknown,33.875,515.8730158730159,15796,3108,2336,2.5
unknown,33.8125,512.8205128205128,15784,2948,2264,2.5
Mouth closed,33.9375,515.8730158730159,15692,3028,2200,2.5
Mouth closed,34.125,517.0940170940171,15872,3040,2088,2.5
Mouth closed,34.0625,520.7570207570208,15784,3104,2176,2.5
Mouth closed,34.0625,517.0940170940171,15836,3048,2220,2.5
Mouth closed,34.125,518.9255189255189,15924,3024,2072,2.5
Mouth closed,34.5625,520.7570207570208,15804,2948,2156,2.5
Mouth closed,34.1875,514.6520146520146,15816,3000,2128,2.5
Mouth closed,34.25,515.8730158730159,15708,3124,2140,2.5
Mouth closed,34.1875,517.7045177045177,15620,3044,2216,2.5
Mouth closed,34.625,521.3675213675214,15756,3156,2236,2.5
unknown,34.4375,523.8095238095239,15776,3160,2160,2.5
unknown,34.3125,518.9255189255189,15752,3224,2076,2.5
unknown,34.5,524.4200244200244,15808,3252,2100,2.5
unknown,34.625,943.8339438339439,15996,2676,140,2.5
unknown,34.4375,913.3089133089134,15956,2828,104,2.5
Mouth open,34.4375,918.8034188034188,15920,2812,232,2.5
Mouth open,34.75,912.6984126984127,15980,2808,68,2.5
Mouth open,34.5,891.9413919413919,15912,2980,220,2.5
Mouth open,34.5625,888.2783882783883,15896,2904,236,2.5
Mouth open,34.375,923.0769230769231,16092,3104,404,2.5
Mouth open,34.375,927.960927960928,15880,3052,276,2.5
Mouth open,34.5,930.4029304029305,15912,2928,308,2.5
Mouth open,34.6875,931.6239316239316,15856,2928,264,2.5
Mouth open,34.75,934.6764346764347,15924,2764,428,2.5
Mouth open,34.5625,941.3919413919414,15912,2872,328,2.5
unknown,34.75,943.2234432234433,15892,2988,380,2.5
unknown,34.75,941.3919413919414,15864,2972,332,2.5
unknown,34.875,942.002442002442,15904,2908,324,2.5
unknown,34.8125,538.4615384615385,15736,3292,2248,2.5
unknown,34.8125,545.7875457875458,15764,3316,2168,2.5
