label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,28.1725,1311.7460317460318,8880,4368,-12344,2.6
Get ready,28.0475,1429.2063492063492,14636,2548,-7992,2.6
Get ready,29.0475,1260.952380952381,14564,1384,360,2.6
Get ready,29.485,784.7619047619048,16408,1016,524,2.6
Get ready,29.7975,748.5714285714286,16420,2124,-124,2.6
Get ready,30.0775,2045.4212454212454,15724,1504,268,2.4
Get ready,31.985,593.6507936507936,16180,1644,2044,2.6
Get ready,32.4225,2108.5714285714284,16484,612,-1288,2.6
Get ready,32.3125,2058.6080586080584,16332,1008,-48,2.5
Get ready,32.0775,2024.3223443223444,15768,1120,1140,2.4
Get ready,32.8125,599.5115995115995,16136,2296,1924,2.5
Get ready,32.9375,2069.5970695970695,16668,2532,864,2.5
Get ready,32.78,2036.019536019536,16156,1356,1976,2.3
Get ready,31.97,1918.681318681319,16136,1908,712,2.7
Get ready,32.5925,2003.443223443223,15860,2248,2088,2.3
Get ready,32.3575,2024.859584859585,16108,1668,-1184,2.2
Get ready,31.8125,2092.7960927960926,15716,2984,-964,2.5
Get ready,32.1875,1507.3260073260074,15748,3224,-996,2.5
Get ready,32.125,1451.7704517704517,15588,2272,-1584,2.5
Get ready,32.36,2086.9841269841268,16224,824,1492,2.6
Get ready,33.0175,2203.7606837606836,12576,1380,-36,2.8
Get ready,33.265,2050.10989010989,15796,2784,-1908,2.4
Get ready,32.985,2127.6190476190477,15660,2920,-2140,2.6
Get ready,33.095,2150.1098901098903,16276,2364,-1968,2.7
Get ready,32.7825,2143.5164835164837,15632,948,-1844,2.7
unknown,33.1725,1869.8412698412699,15932,640,-3572,2.6
unknown,33.125,1740.5372405372405,15328,492,-4224,2.5
unknown,32.6875,1717.3382173382174,15584,1068,-4260,2.5
unknown,32.9225,1873.6507936507937,15576,820,-4108,2.6
unknown,32.955,2120.3418803418804,15276,1632,-4612,2.8
Mouth closed,33.485,1864.7619047619048,16288,1228,-1120,2.6
Mouth closed,34.5,603.1746031746031,16024,2212,1512,2.5
Mouth closed,35.125,599.5115995115995,15984,3008,1400,2.5
Mouth closed,35.5,596.4590964590965,15924,3020,1536,2.5
Mouth closed,35.4375,592.7960927960928,16072,2548,1376,2.5
Mouth closed,35.375,594.6275946275946,15952,2512,1388,2.5
Mouth closed,35.6875,600.1221001221002,16060,2456,1416,2.5
Mouth closed,35.75,601.953601953602,16016,2608,1440,2.5
Mouth closed,35.875,606.2271062271062,16016,2924,1600,2.5
Mouth closed,35.625,599.5115995115995,15988,2876,1812,2.5
unknown,35.625,601.3431013431014,15980,2760,1772,2.5
unknown,35.9375,605.6166056166056,15972,2728,1788,2.5
unknown,35.9375,611.1111111111111,15964,2672,1752,2.5
unknown,36.31,2069.74358974359,14944,2972,-2340,2.1
unknown,35.8725,2100.0,16184,2688,-84,2.1
Mouth open,35.2475,2100.0,15824,2628,-20,2.1
Mouth open,34.685,2100.0,16004,2624,24,2.1
Mouth open,34.3725,2100.0,15912,2588,540,2.1
Mouth open,34.3725,2100.0,16048,2500,544,2.1
Mouth open,33.935,2100.0,16028,2468,604,2.1
Mouth open,33.935,2074.871794871795,16240,2468,824,2.1
Mouth open,34.1225,2045.1282051282053,16068,2396,980,2.1
Mouth open,34.1225,2050.769230769231,16080,2428,1008,2.1
Mouth open,34.185,2046.1538461538462,16036,2296,1072,2.1
Mouth open,34.2475,2030.2564102564102,16084,2436,1164,2.1
unknown,34.06,2058.974358974359,16072,2372,1176,2.1
unknown,34.1225,2051.2820512820513,16084,2324,1176,2.1
unknown,34.1225,2046.6666666666667,16356,2308,1276,2.1
unknown,34.265,590.7692307692307,15860,2080,3196,2.4
unknown,35.39,593.113553113553,15956,2000,3172,2.4
Mouth closed,35.765,594.8717948717949,15952,2052,3020,2.4
Mouth closed,35.8275,595.4578754578755,15944,2068,3040,2.4
Mouth closed,35.64,595.4578754578755,15908,2132,2984,2.4
Mouth closed,36.2025,597.8021978021978,15916,2048,2996,2.4
Mouth closed,36.14,601.9047619047618,15936,2020,2972,2.4
Mouth closed,36.0775,582.5641025641025,15904,2064,3104,2.4
Mouth closed,36.2025,583.1501831501831,15996,2008,2996,2.4
Mouth closed,36.265,587.8388278388278,15948,2028,2980,2.4
Mouth closed,36.14,590.18315018315,15964,2008,2956,2.4
Mouth closed,36.0775,591.9413919413919,15992,2036,2936,2.4
unknown,36.015,590.18315018315,15940,1968,2888,2.4
unknown,36.265,595.4578754578755,15904,1956,2900,2.4
unknown,36.3275,594.8717948717949,15920,1948,2868,2.4
unknown,36.1225,2100.0,16172,2184,812,2.1
unknown,35.685,2100.0,15912,2220,1080,2.1
Mouth open,35.435,2100.0,16376,2088,1080,2.1
Mouth open,35.56,2100.0,16332,2320,1072,2.1
Mouth open,35.185,2100.0,16076,2136,1200,2.1
Mouth open,35.1225,2100.0,15988,2032,1568,2.1
Mouth open,35.1225,2100.0,16136,2072,1744,2.1
Mouth open,34.81,2100.0,16096,2052,1688,2.1
Mouth open,34.6225,2100.0,16136,2048,1812,2.1
Mouth open,34.4975,2100.0,16020,2056,1776,2.1
Mouth open,34.6225,2091.2820512820517,16056,2072,1852,2.1
Mouth open,34.2475,2091.2820512820517,15968,2012,1788,2.1
unknown,34.31,2072.3076923076924,16068,2316,1836,2.1
unknown,34.2475,2044.1025641025642,16012,2088,1900,2.1
unknown,34.045,2101.1477411477413,16092,2148,1776,2.2
unknown,33.9675,590.3052503052502,15828,2336,2816,2.3
unknown,35.3425,567.2771672771672,15876,1772,3160,2.3
