label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,24.28,2023.6630036630036,4696,4932,16536,2.3
Get ready,24.03,2019.1697191697192,-3444,16048,3764,2.3
Get ready,23.7975,1758.7301587301588,-7476,5680,-15980,2.6
Get ready,24.22,1901.5384615384614,14472,3620,744,2.7
Get ready,25.375,1481.0744810744811,16088,3428,1420,2.5
Get ready,26.235,1415.873015873016,15820,2092,-1556,2.6
Get ready,26.625,1526.2515262515262,15852,2024,-276,2.5
Get ready,27.0475,2116.1904761904766,16316,560,596,2.6
Get ready,29.6875,1650.1831501831502,16524,2800,2988,2.5
Get ready,31.61,1801.904761904762,15944,-200,2148,2.6
Get ready,30.9225,1777.7777777777778,15816,1260,2648,2.6
Get ready,32.4375,540.9035409035409,16084,1580,1980,2.5
Get ready,33.5625,521.3675213675214,15668,1404,2600,2.5
Get ready,34.375,523.8095238095239,15680,1460,2340,2.5
Get ready,34.375,532.3565323565324,15756,1492,2288,2.5
Get ready,34.5625,530.5250305250305,15768,1556,1948,2.5
Get ready,34.75,524.4200244200244,15668,2616,-688,2.5
Get ready,34.9375,528.0830280830281,15816,2536,-272,2.5
Get ready,34.9375,528.0830280830281,15596,2520,-308,2.5
Get ready,35.125,529.9145299145299,15708,2416,-508,2.5
Get ready,35.3125,532.967032967033,15680,2416,-336,2.5
Get ready,35.375,533.5775335775336,15716,2360,-460,2.5
Get ready,35.5625,532.3565323565324,15760,2404,-492,2.5
Get ready,35.6875,532.967032967033,15744,2356,-612,2.5
Get ready,35.5625,535.4090354090354,15648,2392,-460,2.5
unknown,35.875,535.4090354090354,15676,2428,-556,2.5
unknown,35.875,537.8510378510379,15720,2364,-576,2.5
unknown,36.125,534.7985347985348,15676,2336,-552,2.5
unknown,35.9375,538.4615384615385,15772,1768,-488,2.5
unknown,35.9375,553.7240537240538,15760,2368,-264,2.5
Grinding,36.0625,565.3235653235653,15912,2532,-292,2.5
Grinding,36.1875,545.1770451770452,15148,812,-332,2.5
Grinding,36.0625,549.4505494505495,16092,2200,-220,2.5
Grinding,36.1875,554.945054945055,15540,1936,-160,2.5
Grinding,36.3125,563.4920634920635,15828,2208,-28,2.5
Grinding,36.4375,559.2185592185592,15600,1944,-160,2.5
Grinding,36.25,561.050061050061,15760,2280,-64,2.5
Grinding,36.4375,558.6080586080586,16096,2880,-1368,2.5
Grinding,36.5,548.2295482295482,15764,2344,-392,2.5
Grinding,36.75,559.2185592185592,15100,3900,2256,2.5
unknown,36.5,557.3870573870574,15212,3788,1980,2.5
unknown,36.5,561.6605616605617,15432,3168,2400,2.5
unknown,36.6875,556.7765567765567,15552,3016,1960,2.5
unknown,36.5625,559.8290598290598,15540,2928,1868,2.5
unknown,36.6875,558.6080586080586,15564,2864,1936,2.5
Not grinding,36.6875,562.2710622710623,15544,2900,1896,2.5
Not grinding,36.5625,565.3235653235653,15556,2816,1852,2.5
Not grinding,36.625,571.4285714285714,15580,2864,1832,2.5
Not grinding,37.0,567.1550671550672,15548,2844,1884,2.5
Not grinding,36.9375,570.2075702075703,15580,2876,1784,2.5
Not grinding,36.875,568.3760683760684,15544,2816,1820,2.5
Not grinding,36.875,570.8180708180709,15612,2784,1752,2.5
Not grinding,36.75,575.0915750915751,15600,2784,1776,2.5
Not grinding,37.0,571.4285714285714,15544,2760,1772,2.5
Not grinding,36.75,573.2600732600732,15508,2784,1756,2.5
unknown,36.75,573.2600732600732,15592,2672,1736,2.5
unknown,36.75,577.5335775335775,15560,2760,1820,2.5
unknown,37.265,546.2271062271061,11404,-76,-184,2.4
unknown,37.2025,548.5714285714286,15800,3096,1796,2.4
unknown,37.3275,550.3296703296703,15732,2384,1496,2.4
Grinding,37.39,548.5714285714286,15716,2944,1872,2.4
Grinding,37.3275,548.5714285714286,15884,5108,2344,2.4
Grinding,37.3275,552.087912087912,15560,2608,1920,2.4
Grinding,37.265,552.6739926739926,15644,2748,1572,2.4
Grinding,37.515,555.0183150183149,15808,3208,1952,2.4
Grinding,37.3275,550.3296703296703,17680,3056,3396,2.4
Grinding,37.2025,552.6739926739926,15576,2380,1704,2.4
Grinding,37.39,555.0183150183149,15600,2320,1636,2.4
Grinding,37.64,556.7765567765567,15540,2508,2000,2.4
Grinding,37.2025,556.7765567765567,15744,2840,1848,2.4
unknown,37.2025,553.2600732600732,15760,2912,1736,2.4
unknown,37.3275,560.2930402930403,15576,2528,1880,2.4
unknown,37.39,564.3956043956044,15524,2664,1884,2.4
unknown,37.515,564.3956043956044,15536,2608,1816,2.4
unknown,37.4525,559.1208791208791,15584,2656,1916,2.4
Not grinding,37.515,563.2234432234433,15576,2584,1940,2.4
Not grinding,37.5775,564.981684981685,15616,2588,1848,2.4
Not grinding,37.3275,567.9120879120879,15612,2584,1876,2.4
Not grinding,37.5775,567.9120879120879,15576,2616,1948,2.4
Not grinding,37.39,569.6703296703296,15576,2600,1992,2.4
Not grinding,37.5775,572.014652014652,15616,2536,1792,2.4
Not grinding,37.5775,572.014652014652,15576,2536,1920,2.4
Not grinding,37.515,555.0183150183149,15656,2592,1872,2.4
Not grinding,37.515,555.0183150183149,15620,2496,1876,2.4
Not grinding,37.5775,556.7765567765567,15564,2544,2000,2.4
unknown,37.515,560.2930402930403,15516,2504,1960,2.4
unknown,37.515,555.0183150183149,15592,2516,1976,2.4
unknown,37.515,558.5347985347985,15452,2240,1880,2.4
unknown,37.515,565.5677655677656,15624,2104,1892,2.4
unknown,37.765,563.2234432234433,15652,3108,2084,2.4
Grinding,37.5775,560.2930402930403,15804,2636,1828,2.4
Grinding,37.5775,562.6373626373627,18908,2996,4132,2.4
Grinding,37.4525,569.0842490842491,15528,2520,2096,2.4
Grinding,37.765,566.1538461538462,18696,860,2096,2.4
Grinding,37.7025,562.6373626373627,15632,2660,2092,2.4
Grinding,37.765,566.1538461538462,15576,2740,1980,2.4
Grinding,37.765,563.8095238095237,15772,2540,1764,2.4
Grinding,37.5775,570.8424908424909,15868,3012,1804,2.4
Grinding,37.515,564.981684981685,15600,3024,1936,2.4
Grinding,37.5775,567.9120879120879,15732,2056,1780,2.4
unknown,37.905,540.8791208791208,15864,2280,1652,2.3
unknown,37.9675,549.3040293040292,15832,1752,1700,2.3
unknown,37.8425,545.934065934066,15660,1968,1736,2.3
unknown,37.8425,543.1257631257631,15680,2048,1716,2.3
unknown,38.03,547.057387057387,15700,2272,1836,2.3
Not grinding,38.0925,545.3724053724053,15636,2180,1884,2.3
Not grinding,37.78,545.3724053724053,15644,2256,1816,2.3
Not grinding,38.155,547.057387057387,15600,2312,1880,2.3
Not grinding,38.155,549.3040293040292,15724,2252,1784,2.3
Not grinding,37.78,552.6739926739926,15652,2288,1808,2.3
Not grinding,37.5925,550.9890109890109,15628,2256,1972,2.3
Not grinding,37.9675,553.2356532356532,15664,2320,1956,2.3
Not grinding,37.655,554.9206349206348,15660,2156,1912,2.3
Not grinding,37.9675,554.9206349206348,15612,2216,2052,2.3
Not grinding,37.9675,551.5506715506715,15648,2248,2032,2.3
unknown,37.905,554.3589743589744,15676,2252,2052,2.3
unknown,37.8425,554.3589743589744,15720,2192,2044,2.3
unknown,37.905,559.97557997558,15648,2248,2124,2.3
unknown,37.905,572.3321123321124,15888,2352,2104,2.3
unknown,37.8425,557.1672771672771,15744,2796,2176,2.3
Grinding,37.905,560.5372405372405,15816,1036,1868,2.3
Grinding,37.9675,563.9072039072039,15940,3960,2008,2.3
Grinding,37.78,561.6605616605617,15824,1216,1920,2.3
Grinding,38.155,558.8522588522588,16064,3488,2412,2.3
Grinding,38.03,568.9621489621488,15900,1964,1808,2.3
Grinding,37.8425,571.7704517704517,15632,868,1720,2.3
Grinding,37.905,563.9072039072039,15724,2408,1960,2.3
Grinding,37.905,567.2771672771672,15480,2360,2700,2.3
Grinding,38.03,576.2637362637362,15568,2204,2052,2.3
Grinding,37.8425,567.2771672771672,15464,2264,2012,2.3
unknown,38.0925,570.0854700854701,15524,2560,2128,2.3
unknown,38.03,571.2087912087912,15772,2244,2024,2.3
unknown,37.8425,574.5787545787545,15752,2228,2032,2.3
unknown,38.03,568.9621489621488,15632,2456,1968,2.3
unknown,38.03,572.3321123321124,15664,2368,1964,2.3
Not grinding,37.7175,581.3186813186813,15628,2312,2308,2.3
Not grinding,38.0925,578.5103785103785,15668,2056,1744,2.3
Not grinding,37.8425,574.017094017094,15708,2256,1952,2.3
Not grinding,37.8425,568.4004884004884,15876,1336,724,2.3
Not grinding,38.0925,571.7704517704517,16148,384,816,2.3
Not grinding,38.0925,571.7704517704517,15876,324,1384,2.3
Not grinding,37.905,571.7704517704517,15756,1808,2408,2.3
Not grinding,37.905,575.7020757020757,15692,1808,2084,2.3
Not grinding,38.295,552.8205128205128,15684,1780,1972,2.2
Not grinding,38.045,529.7191697191698,15784,1860,2076,2.2
unknown,38.17,530.2564102564103,15800,1660,2008,2.2
unknown,38.3575,529.7191697191698,15788,1764,1932,2.2
unknown,38.2325,529.7191697191698,15724,1736,1928,2.2
unknown,38.4825,525.4212454212455,15732,1604,1896,2.2
unknown,38.1075,528.6446886446887,15800,3008,2224,2.2
Grinding,38.4825,534.017094017094,15976,1564,1752,2.2
Grinding,38.3575,525.4212454212455,15264,-660,1700,2.2
Grinding,38.2325,528.6446886446887,15820,1336,1520,2.2
Grinding,38.3575,524.8840048840049,15788,1396,1392,2.2
Grinding,38.1075,529.7191697191698,15848,1144,1480,2.2
Grinding,38.42,527.0329670329671,15320,1612,1652,2.2
Grinding,38.045,531.3308913308913,15864,2388,1668,2.2
Grinding,38.17,530.793650793651,14344,-324,1724,2.2
Grinding,38.17,524.3467643467644,15888,1496,1720,2.2
Grinding,38.4825,527.0329670329671,15820,1472,1756,2.2
unknown,38.17,528.6446886446887,15728,1532,1688,2.2
unknown,38.3575,528.1074481074482,15672,1024,1512,2.2
unknown,38.295,534.017094017094,15656,980,1596,2.2
unknown,38.045,536.1660561660563,17560,180,2992,2.2
unknown,38.1075,535.6288156288156,15776,1632,1712,2.2
Not grinding,38.2325,532.942612942613,15728,1512,1736,2.2
Not grinding,38.295,538.3150183150183,15672,1488,1740,2.2
Not grinding,38.2325,543.6874236874237,15716,1456,1732,2.2
Not grinding,38.2325,542.0757020757021,15688,1524,1760,2.2
Not grinding,38.295,543.6874236874237,15788,1468,1824,2.2
Not grinding,38.045,545.2991452991453,15736,1384,1876,2.2
Not grinding,38.2325,538.3150183150183,15784,1460,1748,2.2
Not grinding,38.295,541.5384615384617,15736,1448,1820,2.2
Not grinding,37.92,545.2991452991453,15676,1408,1860,2.2
Not grinding,38.2325,550.1343101343101,15756,1408,1820,2.2
