label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Awake,25.625,540.9035409035409,4612,14692,-5912,2.5
Awake,36.1875,482.9059829059829,15996,1696,2860,2.5
Awake,36.4375,489.010989010989,16028,1148,3380,2.5
Awake,36.25,496.947496947497,15788,2868,3544,2.5
Awake,36.4375,492.6739926739927,21632,6052,3184,2.5
Awake,36.1875,501.22100122100125,14680,4752,6076,2.5
Awake,36.125,505.4945054945055,14584,4968,5988,2.5
Awake,36.375,501.83150183150184,14492,5728,5348,2.5
Awake,36.0,506.7155067155067,3016,-12788,9072,2.5
Awake,36.3125,514.6520146520146,3260,-14044,6844,2.5
Core,36.515,494.065934065934,3308,-13936,6996,2.4
Awake,36.4525,496.4102564102564,3324,-13952,7100,2.4
Awake,36.265,492.89377289377285,3352,-13924,7128,2.4
Core,36.515,498.16849816849816,3368,-13888,7192,2.4
Core,36.3275,504.02930402930406,3428,-13836,7188,2.4
Core,36.14,506.3736263736264,3388,-13856,7184,2.4
Core,36.39,508.7179487179487,3448,-13852,7196,2.4
Core,36.3275,495.82417582417577,3432,-13864,7204,2.4
Core,36.3275,497.5824175824176,3480,-13816,7220,2.4
Core,36.515,501.0989010989011,1660,-10480,12196,2.4
Core,36.5775,503.4432234432234,1848,-9404,13064,2.4
Core,36.515,505.78754578754575,1864,-9428,13060,2.4
Core,36.5775,504.02930402930406,1892,-9452,13060,2.4
Core,36.53,487.52136752136744,1860,-9488,13032,2.3
Core,36.4675,492.5763125763126,1808,-9488,13028,2.3
Core,36.78,490.8913308913308,1884,-9412,13088,2.3
Deep,36.655,497.63125763125765,1916,-9464,12960,2.3
Deep,36.655,499.87789987789984,1900,-9536,12960,2.3
Core,36.7175,498.19291819291817,1912,-9512,12964,2.3
Core,36.5925,499.87789987789984,1892,-9524,12964,2.3
Core,36.8425,504.37118437118426,1844,-9552,12952,2.3
Core,36.5925,508.30280830280833,1888,-9536,12920,2.3
Core,36.5925,506.6178266178266,1932,-9796,12704,2.3
Core,36.78,508.30280830280833,1888,-9752,12704,2.3
Deep,36.7175,510.5494505494505,1892,-9808,12688,2.3
Deep,36.5925,514.4810744810744,1936,-9776,12720,2.3
Deep,36.7175,518.4126984126983,1944,-9816,12712,2.3
Deep,36.5925,521.7826617826618,1924,-9800,12712,2.3
Deep,36.9825,500.7081807081807,1900,-9896,12644,2.2
Deep,37.045,482.4420024420025,1956,-9864,12620,2.2
Deep,37.1075,487.81440781440784,5144,15608,2920,2.2
Deep,36.92,486.7399267399268,4712,15896,2380,2.2
Deep,37.045,491.5750915750916,4504,788,15928,2.2
Deep,36.92,494.79853479853483,4956,15504,4260,2.2
Deep,36.8575,496.94749694749703,5540,15256,3748,2.2
Deep,36.8575,495.33577533577534,5032,-11072,10588,2.2
Deep,36.8575,495.33577533577534,4968,-10960,10676,2.2
Deep,37.17,504.4688644688645,4852,-11292,10428,2.2
Deep,36.795,503.931623931624,4824,-11268,10368,2.2
Deep,36.8575,507.15506715506723,5260,14620,6152,2.2
Deep,36.67,505.00610500610503,6604,10824,10900,2.2
Deep,36.7325,510.91575091575095,6696,10640,11020,2.2
Deep,36.8575,509.8412698412699,6716,10696,10976,2.2
Deep,36.795,510.3785103785104,6680,10632,11048,2.2
Deep,36.67,514.1391941391942,5832,15080,4340,2.2
Deep,36.42,519.5115995115995,5928,15064,4272,2.2
Deep,36.81,492.8205128205129,5876,14992,4240,2.1
Deep,36.7475,494.35897435897436,5828,15088,4192,2.1
REM,36.8725,501.5384615384616,5916,15088,4212,2.1
REM,36.685,501.0256410256411,5804,15132,4036,2.1
Awake,36.6225,499.4871794871795,5912,15080,4064,2.1
Core,36.7475,503.58974358974365,5904,15088,4000,2.1
Core,36.6225,489.7435897435897,5928,15080,3996,2.1
Core,36.7475,490.25641025641033,8140,14232,4972,2.1
REM,36.8725,493.3333333333333,6140,14748,5028,2.1
REM,36.81,492.8205128205129,6200,14652,4980,2.1
REM,36.8725,490.7692307692308,6164,14676,4984,2.1
Core,36.685,497.948717948718,6104,15416,2220,2.1
Core,36.7475,499.4871794871795,6144,15360,2248,2.1
Core,36.6225,501.0256410256411,6100,15408,2320,2.1
Core,36.7475,502.56410256410254,6136,15396,2240,2.1
REM,36.685,506.66666666666674,6264,15340,2180,2.1
REM,36.6225,506.1538461538462,6136,15348,2240,2.1
Core,36.95,484.004884004884,6120,15388,2312,2.0
Core,36.7625,484.98168498168496,6176,15384,2228,2.0
Core,36.95,491.33089133089135,6112,15344,2184,2.0
Core,36.6375,492.7960927960928,3464,16288,-1716,2.0
Core,36.7625,487.4236874236874,3604,16172,-1740,2.0
Core,36.6375,493.2844932844933,3676,16204,-1760,2.0
Core,36.95,497.6800976800977,3680,16172,-1872,2.0
Core,36.95,494.74969474969475,3680,16164,-1836,2.0
Core,36.7625,501.0989010989011,3692,16152,-1844,2.0
Core,36.825,485.95848595848594,3660,16172,-1864,2.0
Core,37.0125,488.8888888888889,3692,16100,-1876,2.0
Core,36.7625,496.2148962148962,3724,16152,-1896,2.0
Core,37.075,493.2844932844933,3724,16164,-1968,2.0
Core,37.075,499.14529914529913,-200,-7864,14308,2.0
Core,37.075,496.2148962148962,-240,-8012,14208,2.0
Core,36.95,501.0989010989011,-312,-8020,14212,2.0
Core,37.075,506.4713064713065,-312,-8092,14136,2.0
Core,36.95,505.982905982906,5116,-64,15668,2.0
Core,36.7625,507.93650793650795,5144,-84,15708,2.0
Core,37.0275,483.93162393162385,5184,84,15684,1.9
Core,37.09,484.85958485958486,5144,96,15712,1.9
Core,37.0275,489.4993894993895,10012,7872,-10372,1.9
Core,36.84,493.21123321123315,9908,7332,-10940,1.9
Core,36.84,495.06715506715506,10024,7196,-10920,1.9
Core,36.9025,489.03540903540903,10028,7200,-10828,1.9
Core,37.215,494.6031746031745,10072,7180,-10896,1.9
Core,37.09,497.3870573870574,10044,7176,-10856,1.9
Core,36.84,503.8827838827839,10080,7164,-10824,1.9
Core,37.09,506.66666666666663,10084,7064,-10812,1.9
Core,36.965,492.28327228327225,10084,7128,-10884,1.9
Core,36.9025,495.06715506715506,10100,7164,-10860,1.9
Core,36.84,495.995115995116,10148,7108,-10912,1.9
Core,36.7775,497.8510378510378,10140,7072,-10804,1.9
Core,36.715,496.4590964590965,10208,6956,-10904,1.9
Core,36.715,502.95482295482293,10132,6948,-10888,1.9
Core,36.7775,502.026862026862,10160,6940,-10852,1.9
Core,36.6525,506.2026862026862,10100,6932,-10904,1.9
Core,36.7775,506.2026862026862,10020,6856,-10876,1.9
Core,36.84,509.9145299145299,10152,6932,-10896,1.9
Core,36.7925,484.39560439560444,10160,6832,-10928,1.8
Core,36.7925,490.54945054945057,10204,6840,-10912,1.8
Core,36.73,488.35164835164835,10012,6392,-11236,1.8
Core,36.6675,494.0659340659341,10056,6332,-11400,1.8
Core,36.9175,492.74725274725273,9924,6192,-11456,1.8
Core,36.7925,495.3846153846154,9804,6308,-11320,1.8
Core,36.73,500.6593406593407,10036,6312,-11352,1.8
Core,36.48,503.2967032967033,9996,6308,-11388,1.8
Core,36.73,504.61538461538464,10028,6292,-11368,1.8
Core,36.73,488.7912087912089,10104,6300,-11328,1.8
Core,36.5425,494.5054945054945,10024,6332,-11372,1.8
Core,36.4175,497.14285714285717,9968,6296,-11368,1.8
Core,36.4175,500.2197802197802,10100,6576,-11112,1.8
Core,36.605,501.5384615384616,10136,6476,-11252,1.8
Core,36.5425,499.78021978021985,2392,-14524,6408,1.8
Core,36.7925,503.73626373626377,3336,-14792,5200,1.8
Core,36.4175,505.0549450549451,2964,-14608,5736,1.8
Awake,36.2925,505.934065934066,3008,-14624,5736,1.8
Core,36.48,511.2087912087912,2972,-14588,5672,1.8
Core,36.23,510.7692307692308,3068,-14716,5520,1.8
Core,36.23,513.4065934065934,3080,-14604,5584,1.8
Core,36.355,517.8021978021978,3140,-14632,5652,1.8
Core,36.23,520.0,3144,-14628,5620,1.8
Core,36.1675,522.1978021978022,3172,-14576,5596,1.8
Core,36.23,518.6813186813187,2836,-14820,5528,1.8
Core,36.105,524.3956043956044,2872,-14676,5448,1.8
Core,36.105,526.5934065934066,2936,-14672,5624,1.8
Core,36.355,530.5494505494505,2752,-14800,5380,1.8
Core,36.105,533.6263736263737,2736,-14828,5272,1.8
Core,36.2925,519.1208791208791,3604,-4464,15256,1.8
Core,36.2925,521.3186813186813,3676,-4628,15376,1.8
Core,36.1675,521.7582417582418,3656,-4764,15312,1.8
Core,36.105,527.4725274725274,3608,-4656,15492,1.8
Core,35.855,524.835164835165,3596,-4860,15304,1.8
Core,35.98,529.2307692307694,3572,-4828,15304,1.8
Core,35.73,530.989010989011,3588,-4912,15276,1.8
Core,35.6675,533.6263736263737,3600,-4860,15344,1.8
Core,35.73,533.6263736263737,3544,-4984,15248,1.8
Core,35.7925,539.7802197802198,3556,-4976,15268,1.8
Core,35.5425,541.5384615384615,3512,-5024,15292,1.8
Core,35.4175,544.6153846153848,3524,-5028,15204,1.8
Core,35.4175,542.4175824175825,3568,-5160,15220,1.8
Core,35.5425,547.2527472527472,4412,-2064,16128,1.8
Core,35.4175,544.6153846153848,6960,13588,7004,1.8
Core,35.23,548.5714285714286,7044,13492,7060,1.8
Core,35.4175,554.2857142857143,7052,13404,7140,1.8
Core,35.0425,555.1648351648352,4308,40,16092,1.8
Core,34.98,559.1208791208791,4316,-120,16036,1.8
Core,35.23,547.2527472527472,4356,-228,16028,1.8
Core,35.2925,549.4505494505495,4340,-208,16068,1.8
Core,35.105,549.4505494505495,4308,-268,16012,1.8
Core,35.23,556.0439560439561,4376,-324,15972,1.8
Core,35.2925,560.0000000000001,4392,-316,16040,1.8
Core,35.0425,553.8461538461538,4304,-340,15988,1.8
Core,23.105,598.2417582417582,-2412,12324,11316,1.8
Core,23.5425,545.934065934066,-12720,-1752,-10320,1.8
Core,24.23,556.4835164835165,-12840,-472,-10288,1.8
