label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,24.485,1247.6190476190477,8396,8860,11100,2.6
Get ready,24.7975,638.7301587301587,9236,10672,-7032,2.6
Get ready,25.2975,554.2857142857143,13568,-2852,-4488,2.6
Get ready,25.735,901.5873015873016,15664,888,-2888,2.6
Get ready,25.735,991.1111111111112,15736,1452,-2120,2.6
Get ready,26.4225,609.5238095238095,15772,1168,-480,2.6
Get ready,28.9225,525.0793650793652,16184,540,-1256,2.6
Get ready,30.86,521.2698412698413,16284,2140,-1452,2.6
Get ready,31.5475,520.6349206349206,15928,2316,-2840,2.6
Get ready,31.7975,522.5396825396825,16076,2064,-2660,2.6
Get ready,32.36,523.1746031746031,15632,2420,-596,2.6
Get ready,32.5475,524.4444444444445,15784,2752,244,2.6
Get ready,32.735,525.0793650793652,15604,2496,308,2.6
Get ready,32.985,520.6349206349206,15596,2304,244,2.6
Get ready,33.1725,523.1746031746031,15776,2276,124,2.6
Get ready,33.7975,521.2698412698413,15756,2416,188,2.6
Get ready,33.6725,525.0793650793652,15748,2404,128,2.6
Get ready,33.735,526.984126984127,15732,2348,120,2.6
Get ready,33.985,527.6190476190476,15780,2292,92,2.6
Get ready,34.1725,525.0793650793652,15744,2556,76,2.6
Get ready,34.0475,527.6190476190476,15724,2476,32,2.6
Get ready,34.4225,529.5238095238095,15800,2380,228,2.6
Get ready,34.4225,529.5238095238095,15792,2472,208,2.6
Get ready,34.6725,532.063492063492,15792,2404,156,2.6
Get ready,34.4225,509.2063492063493,15700,2460,212,2.6
unknown,34.625,494.5054945054945,15696,2424,164,2.5
unknown,34.625,494.5054945054945,15776,2360,148,2.5
unknown,34.9375,494.5054945054945,15792,2364,164,2.5
unknown,35.125,496.947496947497,15684,2452,36,2.5
unknown,35.1875,494.5054945054945,15664,2400,-64,2.5
Mouth closed,35.0,496.947496947497,15760,2392,-164,2.5
Mouth closed,34.875,499.3894993894994,15728,2420,-284,2.5
Mouth closed,35.0,498.77899877899875,15720,2416,-332,2.5
Mouth closed,35.1875,501.22100122100125,15732,2432,-288,2.5
Mouth closed,35.1875,497.55799755799757,15688,2468,-304,2.5
Mouth closed,35.25,500.0,15672,2440,-328,2.5
Mouth closed,35.25,501.83150183150184,15644,2400,-424,2.5
Mouth closed,35.4375,501.83150183150184,15768,2432,-368,2.5
Mouth closed,35.375,501.83150183150184,15688,2460,-360,2.5
Mouth closed,35.5625,501.83150183150184,15772,2352,-344,2.5
unknown,35.5,504.88400488400487,15812,2332,-344,2.5
unknown,35.25,1160.5616605616606,14932,2304,-3436,2.5
unknown,34.75,1071.4285714285713,15520,2156,-2204,2.5
unknown,34.6875,996.9474969474969,15668,2376,-1272,2.5
unknown,34.0625,985.958485958486,15788,2172,-1008,2.5
Mouth open,33.875,972.5274725274726,15732,2200,-888,2.5
