label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,27.86,1577.1428571428573,10860,1508,-8696,2.6
Get ready,28.0625,1650.1831501831502,15236,2852,-4052,2.5
Get ready,28.0625,1631.2576312576311,14852,2492,-3428,2.5
Get ready,28.61,706.6666666666666,15400,2036,152,2.6
Get ready,30.25,511.5995115995116,15752,1996,-192,2.5
Get ready,32.6875,505.4945054945055,15784,2348,-84,2.5
Get ready,33.3125,506.7155067155067,15604,2824,-84,2.5
Get ready,33.5625,507.93650793650795,15644,3520,-2140,2.5
Get ready,33.75,506.1050061050061,15656,2784,-1056,2.5
Get ready,33.8125,506.7155067155067,15672,2760,-792,2.5
Get ready,34.125,509.15750915750914,15712,2772,-664,2.5
Get ready,34.25,510.3785103785104,15688,2792,-596,2.5
Get ready,34.5625,515.2625152625153,15600,2880,-372,2.5
Get ready,34.4375,517.0940170940171,15636,2868,-492,2.5
Get ready,34.6875,512.2100122100122,15760,2180,-272,2.5
Get ready,34.6875,514.6520146520146,15684,2412,-620,2.5
Get ready,34.5625,515.8730158730159,15656,2472,-564,2.5
Get ready,34.875,518.3150183150183,15208,2916,120,2.5
Get ready,34.8125,504.2735042735043,15596,2996,-1748,2.5
Get ready,35.125,507.3260073260073,15096,3472,-1656,2.5
Get ready,35.25,515.2625152625153,15576,3072,-348,2.5
Get ready,35.25,517.0940170940171,15452,3024,-436,2.5
Get ready,35.625,520.7570207570208,15160,2928,-872,2.5
Get ready,35.125,1667.2771672771673,15088,3248,-2684,2.5
Get ready,34.6875,1589.7435897435898,15672,3004,-1552,2.5
unknown,34.0625,1483.5164835164835,15600,3052,-1108,2.5
unknown,34.375,1476.8009768009767,15556,2964,-1048,2.5
unknown,34.5625,522.5885225885226,15672,2752,4,2.5
unknown,35.125,526.2515262515262,15620,2916,52,2.5
unknown,35.0625,527.4725274725274,15576,2948,92,2.5
Mouth closed,35.5,527.4725274725274,15708,2880,116,2.5
