Designator,Description,Comment,Quantity

"C1","CAP CER 100UF 2.5V X6S 0805","100µF","1"
"C2","CAP CER 4.7UF 6.3V X5R 0402","4.7µF","1"
"C3, C6","CAP CER 0.1UF 6.3V X5R 0402","0.10µF","2"
"C4","CAP CER 300PF 50V NP0 0402","300pF","1"
"C5","CAP CER 10UF 6.3V X5R 0402","10µF","1"
"C7, C8","CAP CER 47UF 6.3V X5R 0603","47µF","2"
"C9","Supercapacitors / Ultracapacitors Reflow EDLC 3.3V, 11mF, 160 Ohm","CPH3225A","1"
"CN1","FFC / FPC Board Connector, 0.5 mm, 16 Contacts, Receptacle, Easy-On 52745, Surface Mount, Top","FPC Connector","1"
"D1, D2","DIODE SCHTTKY 70V 70MA X1DFN1006","BAS70LP-7B","2"
"L1","Gekoppelde smoorspoelen 12.5uH 12% 900mA 200 Ohms","LPR6235-123QMRC","1"
"R1","RES SMD 10K OHM 5% 1/10W 0402","10k","1"
"R2","RES SMD 1.5M OHM 5% 1/10W 0402","1.5M","1"
"R3","RES SMD 470K OHM 1% 1/10W 0402","470k","1"
"U1","ARM-microcontrollers - MCU NTAG NHS3152 NFC","NHS3152UK","1"
"U2","FRAM (Ferroelectric RAM) Memory IC 4Mbit SPI 20 MHz 8-GQFN (3.23x3.28)","CY15B104QI-20LPXC","1"
"U3","ACCEL 2-16G I2C/SPI 12LGA","LIS2DW12TR","1"
"U4","Matrix Mercury Energy Harvesting Synchronous Boost Converter with Microwatt Cold-Start, Input Impedance Matching and Regulated Output","MCRY12-125Q-33DIT","1"
"U5","Controlecircuits Ultra-Low Power (88nA) Voltage Detector","XC6136N18","1"
"U6","Controlecircuits Ultra-Low Power (88nA) Voltage Detector","XC6136C19","1"
